cand_id,name,age,party_id,spl_attribute_id
cand157,"N. J. Vidyasagar",51,VCK,157
cand158,"Sarabandi Raju Sikhinam",35,ILP(AP),158
cand159,"Shaik Jaleel",43,NRCP,159
cand160,"Samudrala Chinna Kotaiah",41,NDDHP,160
cand161,"Umar Basha Shaik",29,IND,161
cand162,"Dasari Kiran Babu",37,IND,162
cand163,"Doppalapudi Veera Das",60,IND,163
cand164,"Y. V. Suresh",50,IND,164
cand165,"KANNA LAKSHMI NARAYANA",64,BJP,165
cand166,"PAKKALA SURIBABU",60,INC,166
cand167,"RAYAPATI SAMBASIVARAO",75,TDP,167
cand168,"LAVU SRI KRISHNA DEVARAYALU",35,YSRCP,168
cand169,"ALLU VENKATAREDDY",49,PPOI,169
cand170,"KANAKAM SRINIVASARAO",40,NNKP,170
cand171,"NAYUB KAMAL SHAIK",52,JNP,171
cand172,"SURABHI DEVASAHAYAM",46,IUML,172
cand173,"KANTE SAYANNA",40,IND,173
cand174,"GADDALA VENU",28,IND,174
cand175,"DURGAMPUDI RAMIREDDY",66,IND,175
cand176,"PARIMI NARASIMHA RAO",32,IND,176
cand177,"REDDYBOINA PRASANNA KUMAR",50,IND,177
cand178,"CHALLAGALI KISHORE KUMAR",43,BJP,178
cand179,"K. DEVANAND",64,BSP,179
cand180,"NANDIGAM SURESH",42,YSRCP,180
cand181,"MALYADRI SRIRAM",65,TDP,181
cand182,"J.D. SEELAM",65,INC,182
cand183,"KUMAR KATTEPOGU",53,PPOI,183
cand184,"GADDE HARI BABU",40,NPT,184
cand185,"CHINA NAGESWARA RAO SADHU",35,MPP,185
cand186,"THUMATI RAVI",46,ALPP,186
cand187,"NUTHAKKI RAMA RAO",71,AINPP,187
cand188,"GELLA NAGAMALLI",34,IND,188
cand189,"GOLLA BABURAO",46,IND,189
cand190,"BUSSA NAGARAJU",29,IND,190
cand191,"THOGANTI SREENIVASULU",44,BJP,191
cand192,"MAGUNTA SREENIVASULU REDDY",65,YSRCP,192
cand193,"SIDDA RAGHAVA RAO",61,TDP,193
cand194,"DR SIRIVELLA PRASAD",51,INC,194
cand195,"KONDA PRAVEEN KUMAR",45,NPT,195
cand196,"BELLAMKONDA SAIBABU",49,JNP,196
cand197,"MARAM SRINIVASA REDDY",27,PRSHP,197
cand198,"VENKATESAN BABURAO",34,IPBP,198
cand199,"KAVURI VENU BABU NAIDU",41,IND,199
cand200,"BILLA CHENNAIAH",49,IND,200
cand201,"MADHU YATTAPU",33,IND,201
cand202,"MOHAN AYYAPPA",29,IND,202
cand203,"VENKATESH VEPURI",32,IND,203
cand204,"ADINARAYANA INTY",67,BJP,204
cand205,"JANGITE LAKSHMI NARASIMHA YADAV",33,INC,205
cand206,"POCHA . BRAHMANANDA REDDY",60,YSRCP,206
cand207,"MANDRA SIVANANDA REDDY",57,TDP,207
cand208,"D. P. JAMAL BASHA.",48,AYSRCP,208
cand209,"PULA. NAGAMADDILETY",40,ANC,209
cand210,"D. MAHAMMAD RAFI .",29,BCUF,210
cand211,"RUDDIREDDY RADHAKRISHNA",38,AIFB,211
cand212,"S.P.Y. REDDY",69,JNP,212
cand213,"S. A. INDUMATHI",42,IND,213
cand214,"ELLURI. BHUPAL.",39,IND,214
cand215,"K.P. KAMBAGIRISWAMY.",40,IND,215
cand216,"JESTADI SUDHAKAR",38,IND,216
cand217,"I.V. PAKKIR REDDY",70,IND,217
cand218,"POLURU GURUVAIAH",39,IND,218
cand219,"BHUMA KISHOR REDDY",35,IND,219
cand220,"B.C. RAMANATHA REDDY",54,IND,220
cand221,"Dr. LAKSHMI KANTHA REDDY CHITLA",34,IND,221
cand222,"VANGALA PARAMESWARA REDDY.",40,IND,222
cand223,"C. SURENDRA NATH REDDY",54,IND,223
cand224,"AHMED ALI KHAN",42,INC,224
