name,party_name,status,state,constituency
DEV NARAYAN GUPTA, Independent, Rejected, Bihar, Darbhanga
ASHOK KUMAR MAMBA, Maa Telangana Party, Accepted, Telangana, Hyderabad
BOIN DURGA PRASAD YADAV, Dharma Samaj Party, Accepted, Telangana, Malkajgiri
R. SUBENDER SINGH, Independent, Accepted, Telangana, Malkajgiri
KARTHIK LANKADASARI, Independent, Withdrawn, Telangana, Malkajgiri
ABISHEK GOUD THABETI, Jana Shankhaaraavam Party, Accepted, Telangana, Medak
BHAUSAHEB RAMNATH WAKCHAURE, Independent, Accepted, Maharashtra, Shirdi
SYED ANWAR, Independent, Accepted, Telangana, Hyderabad
PAMBALI BALASWAMY, Bahujana Left Party, Rejected, Telangana, Nagarkurnool
DR. AKSHAY KANTI BAM (JAIN), Indian National Congress, Withdrawn, Madhya Pradesh, INDORE
GOLI SAIDULU, Independent, Accepted, Telangana, Nalgonda
ASHIS DAS, Independent, Accepted, West Bengal, Baharampur
RANJEET BHAGAT, Independent, Accepted, Jharkhand, Lohardaga
THIPPARAPU MOUNIKA, Independent, Rejected, Telangana, Malkajgiri
K SHIVANI, Independent, Rejected, Telangana, Chevella
RUNJALA JOHN ABRAHAM, India Praja Bandhu Party, Rejected, Telangana, Malkajgiri
CHILUKA ANAND, Yuva Taram Party, Accepted, Telangana, Peddapalle
PALAMURI SAI NIKHIL, Independent, Accepted, Telangana, Nizamabad
RAMPAL, Independent, Accepted, Uttar Pradesh, Misrikh
VANKUDOTHU RAVI KUMAR (RAVANNA), Telangana Jaghir Party, Accepted, Telangana, Mahabubabad
VISHAL UDDHAV NANDARKAR, Independent, Accepted, Maharashtra, Aurangabad
KIRAN VANGAPALLY, Republican Sena, Rejected, Telangana, Bhongir
SUDHA VEERA GANESH, Independent, Accepted, Andhra Pradesh, Kakinada
NAKKA KRISHNA, Independent, Rejected, Telangana, Zahirabad
MAREPALLI MOGILAIAH, Bahujan Samaj Party, Accepted, Telangana, Karimnagar
R BHULAKSHMI, Pyramid Party of India, Rejected, Andhra Pradesh, Chittoor(SC)
KONDUR SATHYANARAYANA, Independent, Rejected, Telangana, Nalgonda
KAYA DURGARAO, Navarang Congress Party, Accepted, Andhra Pradesh, Srikakulam
RAM KARAN PASWAN, Independent, Rejected, Bihar, Ujiarpur
ALLAM.RAJA, Independent, Accepted, Andhra Pradesh, Thirupathi(SC)
SUNNY HAZARI, Indian National Congress, Accepted, Bihar, Samastipur
ADV. SHARAD BAHINAJI KAMBLE, All India National Raksha Sena, Accepted, Maharashtra, Beed
SHAIK AMEEN PEERAN, Mahajana Rajyam Party, Rejected, Andhra Pradesh, Kadapa
SAIYYAD SARFARAZ GANDHI, Independent, Accepted, Uttar Pradesh, Unnao
ATHRAM BHEEM RAO, Independent, Rejected, Telangana, Adilabad
LATIF JABBAR KHAN, Independent, Accepted, Maharashtra, Aurangabad
MALAN DNYANESHWAR PARDHE, Rashtriya Maratha Party, Rejected, Maharashtra, Shirur
PASULA RAVI, Republican Party of India (Athawale), Accepted, Telangana, Warangal
S GANGADHAR, Independent, Withdrawn, Andhra Pradesh, Hindupur
KALI CHARAN MUNDA, Indian National Congress, Accepted, Jharkhand, Khunti
RAM BADAN RAI, Karpoori Janta Dal, Accepted, Bihar, Begusarai
DEVARAPOGU MADDILETY, Independent, Accepted, Andhra Pradesh, Kurnoolu
SAGARAM SREEDHAR, Republican Party of India (Athawale), Rejected, Telangana, Malkajgiri
DR.  BASWANANDAM DANDEPU, Bahujan Samaj Party, Accepted, Telangana, Secunderabad
DR G V VEEKSHITH, Telugu Desam, Rejected, Andhra Pradesh, Ananthapur
SAMAREDDY BALAKRISHNA, Independent, Accepted, Andhra Pradesh, Araku (ST)
RAMAVTH CHINNA RAMAPPA NAIK, Jaibhim Rao Bharat Party, Accepted, Andhra Pradesh, Ananthapur
RADHA RANI, Independent, Rejected, Uttar Pradesh, Kannauj
GANESH RAVI, Independent, Accepted, Jharkhand, Palamau
SANA MOHAMAD ALI SAYYAD, Independent, Withdrawn, Maharashtra, Shirdi
DR.  BASWANANDAM DANDEPU, Bahujan Samaj Party, Accepted, Telangana, Secunderabad
ANKUSH RAMA KHOTE, Bharatheeya Jawan Kisan Party, Withdrawn, Maharashtra, Beed
KOTHAPALLI SAVITHRI, Marxist Communist Party of India (United), Accepted, Telangana, Warangal
MARISERLA KRISHNAMURTHY NAIDU, Independent, Accepted, Andhra Pradesh, Vizianagaram
NITIN VERMA, Independent, Accepted, Madhya Pradesh, DEWAS
JIYAULLAH AKBAR SHAIKH, Independent, Withdrawn, Maharashtra, Aurangabad
PENUMURU. GURAPPA, Bahujan Samaj Party, Accepted, Andhra Pradesh, Thirupathi(SC)
ANUSURI ADINARAYANA, Peoples Party of India (Democratic), Rejected, Andhra Pradesh, Kakinada
MANOJ BHASKAR GARBADE, Independent, Accepted, Maharashtra, Maval
ANOSE KATKOORI, Independent, Accepted, Telangana, Karimnagar
UMAR BHASHA SHAIK, Jana Sahayaka Sakthi, Accepted, Andhra Pradesh, Guntur
RAJESWARA RAO KONDRU, Bharatheeya Jawan Kisan Party, Accepted, Andhra Pradesh, Eluru
MESRAM JANGUBAPU, Bahujan Samaj Party, Accepted, Telangana, Adilabad
YASHWANT UTTARESHWAR GAIKE, Independent, Rejected, Maharashtra, Beed
DR.  BASWANANDAM DANDEPU, Bahujan Samaj Party, Accepted, Telangana, Secunderabad
MANNE SRINIVAS REDDY, Bharat Rashtra Samithi, Accepted, Telangana, Mahbubnagar
NARENDRA KUMAR, Akhil Rashtrawadi Party, Rejected, Uttar Pradesh, Dhaurahra
DATLA LURTHU MERI, Jaibhim Rao Bharat Party, Accepted, Andhra Pradesh, Vijayawada
MUNNA LAL, Naari Nar Rakshak Party, Rejected, Uttar Pradesh, Hardoi
ANUSHA THUMULA, Independent, Withdrawn, Telangana, Malkajgiri
SYED ANWAR, United States of India Party, Accepted, Telangana, Hyderabad
DESHMUKH DATTATRAYA SHIVAJI, Independent, Rejected, Maharashtra, Beed
SAPAVAT SUMAN, Independent, Accepted, Telangana, Secunderabad
POCHA JANARDHAN REDDY, Independent, Withdrawn, Andhra Pradesh, Nandyal
GOGIREDDY ANJANIDEVI, Indian Praja Congress, Rejected, Andhra Pradesh, Nellore
BANSI LAL BHAT, Independent, Rejected, Jammu and Kashmir, SRINAGAR
NADDUNURI SAMPATH, Independent, Rejected, Telangana, Warangal
REENA LEONG, Independent, Accepted, West Bengal, Bardhaman-Durgapur
SREENIVASULU DASARI, Independent, Withdrawn, Andhra Pradesh, Thirupathi(SC)
SMITA UDAY WAGH, Bharatiya Janata Party, Accepted, Maharashtra, Jalgaon
VENUMBAKA VIJAYASAI REDDY, Yuvajana Sramika Rythu Congress Party, Accepted, Andhra Pradesh, Nellore
ISHWARLAL VARSHI, Independent, Accepted, Madhya Pradesh, UJJAIN
PRATHAP REDDY GORLA, Independent, Accepted, Andhra Pradesh, Hindupur
PRASHANT VASANT NIKAM, Independent, Accepted, Maharashtra, Shirdi
SYED ANWAR, United States of India Party, Accepted, Telangana, Hyderabad
BHEEMANAPALLY VENKATA RAMANA, Independent, Rejected, Telangana, Bhongir
ABBAGONI ASHOK GOUD, Bahujana Left Party, Accepted, Telangana, Nizamabad
MAHESH PARMAR, Indian National Congress, Accepted, Madhya Pradesh, UJJAIN
RANJANA DIXIT, Rashtriya Mazdoor Ekta Party, Rejected, Uttar Pradesh, Akbarpur
SHAILESH KUMAR, Azad Adhikar Sena, Rejected, Uttar Pradesh, Shahjahanpur
BOYA SURESH, Independent, Accepted, Andhra Pradesh, Kurnoolu
GOGULA SUGUNAMMA, Jai Maha Bharath Party, Accepted, Andhra Pradesh, Nandyal
ANIL KUMMARI, Independent, Rejected, Telangana, Malkajgiri
SMITA UDAY WAGH, Bharatiya Janata Party, Accepted, Maharashtra, Jalgaon
KALI CHARAN MUNDA, Indian National Congress, Rejected, Jharkhand, Khunti
KANCHARLA BHUPAL REDDY, Bharat Rashtra Samithi, Rejected, Telangana, Nalgonda
MUNNA LAL, Naari Nar Rakshak Party, Accepted, Uttar Pradesh, Hardoi
K LOKANADHAM, Independent, Rejected, Andhra Pradesh, Chittoor(SC)
SARIKA BAJRANG SONWANE, Nationalist Congress Party – Sharadchandra Pawar, Rejected, Maharashtra, Beed
MOHAMMED AYUB ALI, Anna YSR Congress Party, Accepted, Telangana, Secunderabad
SMITA UDAY WAGH, Bharatiya Janata Party, Accepted, Maharashtra, Jalgaon
AJAY KUMAR, Bharatiya Janata Party, Accepted, Uttar Pradesh, Kheri
ANAND KUMAR, Sanyukt Janadesh Party, Rejected, Uttar Pradesh, Kannauj
RAVIKANT AMBADAS RATHOD, Samnak Janta Party, Withdrawn, Maharashtra, Beed
IMTIAZ JALEEL SYED, Independent, Accepted, Maharashtra, Aurangabad
SANA MOHAMAD ALI SAYYAD, All India Majlis-E-Ittehadul Muslimeen, Rejected, Maharashtra, Shirdi
SALVERU RAMESH, Indian Praja Congress, Accepted, Telangana, Hyderabad
MUKESH KUMAR  (BHARTI), Rashtriya Vikalp Party, Accepted, Uttar Pradesh, Kheri
MAHESH PARMAR, Indian National Congress, Accepted, Madhya Pradesh, UJJAIN
BANESINGH ASTAYA, Indian National Congress, Rejected, Madhya Pradesh, DEWAS
MITHILESH MAHTO, Independent, Accepted, Bihar, Darbhanga
RAVVA. BHADRAMMA, Dharma Samaj Party, Accepted, Telangana, Mahabubabad
YASHWANT UTTARESHWAR GAIKE, Independent, Rejected, Maharashtra, Beed
TANGELLA UDAY SRINIVAS  (TEA TIME UDAY), Janasena Party, Accepted, Andhra Pradesh, Kakinada
PRABHAKAR REDDY VEMIREDDY, Telugu Desam, Accepted, Andhra Pradesh, Nellore
BALAGAM NAYAKAR, Independent, Accepted, Andhra Pradesh, Narsapuram
ISHWARLAL VARSHI, Independent, Accepted, Madhya Pradesh, UJJAIN
ABBURU VENKATA SIVA NAGAMALLESWARA RAO, Independent, Rejected, Andhra Pradesh, Vijayawada
MOHD. SHUKURODDIN, Independent, Rejected, Telangana, Karimnagar
POOLA REDDY SEKHAR, Independent, Accepted, Andhra Pradesh, Rajampet
UMESH MAHADEV MHETRE, Independent, Accepted, Maharashtra, Shirur
MALLIKARJUNA VAJJALA, Indian National Congress, Accepted, Andhra Pradesh, Ananthapur
MALAVAT VITHAL, Independent, Accepted, Telangana, Nizamabad
KANCHARLA BHUPAL REDDY, Bharat Rashtra Samithi, Rejected, Telangana, Nalgonda
DEVI LAXMINARSAIAH, Independent, Rejected, Telangana, Peddapalle
KARUKONDA SRINIVAS YADAV, Independent, Accepted, Telangana, Mahbubnagar
VIJAYA BHASKARA LAKSHMI PULAGAM, Pyramid Party of India, Rejected, Andhra Pradesh, Rajahmundry
JOGI VEERANJANEYULU, Independent, Accepted, Andhra Pradesh, Machilipatnam
ANNU TANDON, Samajwadi Party, Accepted, Uttar Pradesh, Unnao
DINESH, Independent, Accepted, Telangana, Mahbubnagar
MEESALA SRINIVAS RAO, Bharatiya Janata Party, Rejected, Telangana, Nizamabad
LINGIDI. VENKATESWARLU, Prajavani  Party, Accepted, Telangana, Bhongir
SHAIK BASHEED, Indian National Congress, Accepted, Andhra Pradesh, Rajampet
CHALLAPALLI RATAN RAJU, Viduthalai Chiruthaigal Katchi, Accepted, Andhra Pradesh, Guntur
ASHOK PASWAN ADVOCATE, Sabhi Jan Party, Accepted, Uttar Pradesh, Kanpur
DIGAMBAR BAPURAO KARHALE, Bhartiya Veer Kisan Party, Rejected, Maharashtra, Jalna
MALAVAT VITHAL, Independent, Accepted, Telangana, Nizamabad
BANESINGH ASTAYA, Independent, Withdrawn, Madhya Pradesh, DEWAS
VARADAIAH TATAM, Independent, Rejected, Andhra Pradesh, Nellore
DR. NAVAL KISHOR SHAKYA, Samajwadi Party, Accepted, Uttar Pradesh, Farrukhabad
PULI SREENIVASULU, Independent, Accepted, Andhra Pradesh, Rajampet
MADHAVI LATHA KOMPELLA, Bharatiya Janata Party, Accepted, Telangana, Hyderabad
MUDIT CHAURASIA, Independent, Accepted, Madhya Pradesh, INDORE
MOMAMMAD MUSTHAFA BEEDILU, Indian National Congress, Rejected, Andhra Pradesh, Hindupur
BOMMALA VIJAY KUMAR, Independent, Accepted, Telangana, Medak
BABASAHEB PATIL SHINDE, Independent, Accepted, Maharashtra, Jalna
MONIKA MURLIDHAR MOHOL, Bharatiya Janata Party, Rejected, Maharashtra, Pune
DADIGE RAJENDAR, Independent, Accepted, Telangana, Medak
MADHAVI LATHA KOMPELLA, Bharatiya Janata Party, Accepted, Telangana, Hyderabad
POCHA BRAHMANANDA REDDY, Yuvajana Sramika Rythu Congress Party, Accepted, Andhra Pradesh, Nandyal
MUKTA BHIMRAO DALE, Dalit Soshit Pichhara Varg  Adhikar Dal, Withdrawn, Maharashtra, Beed
CHILUMULLA SUJATHA, Independent, Accepted, Telangana, Warangal
BHIMRAO AMBEDKAR, Bahujan Samaj Party, Accepted, Uttar Pradesh, Hardoi
KAVALI SUKUMAR, Independent, Accepted, Telangana, Chevella
DARWARI URF  DARWARI LAL  CHAUHAN, Janta Kranti Party, Accepted, Uttar Pradesh, Kheri
KOMMU JAGADEESH, Independent, Rejected, Telangana, Peddapalle
AGA SYED RUHULLAH MEHDI, Jammu & Kashmir National Conference, Accepted, Jammu and Kashmir, SRINAGAR
SATYANARAYANA SARVEY, Indian National Congress, Rejected, Telangana, Malkajgiri
VIJAYA, Independent, Accepted, Telangana, Mahbubnagar
ETWA ORAON, Independent, Rejected, Jharkhand, Lohardaga
JUPAKA SONY, Independent, Withdrawn, Telangana, Malkajgiri
BANDA SOWMYA, Independent, Withdrawn, Telangana, Zahirabad
TANGELLA UDAY SRINIVAS  (TEA TIME UDAY), Janasena Party, Accepted, Andhra Pradesh, Kakinada
TIRUGUDU RAVIKUMAR, Independent, Withdrawn, Telangana, Nalgonda
DURGAM RAMULU, Independent, Accepted, Telangana, Peddapalle
APPALANAIDU KALISETTI, Telugu Desam, Accepted, Andhra Pradesh, Vizianagaram
BABU MOHAN PALLY, Independent, Rejected, Telangana, Warangal
NAGARAJU JETTI, Independent, Accepted, Andhra Pradesh, Rajampet
BABYLATHA NANDIGAM, Yuvajana Sramika Rythu Congress Party, Rejected, Andhra Pradesh, Bapatla (SC)
MARLA ANJANEYULU, Jai Swaraj Party, Accepted, Telangana, Mahbubnagar
KOLISETTY SHIVA KUMAR, Yuga Thulasi Party, Accepted, Telangana, Secunderabad
ATHIDHI, Indian National Congress, Rejected, Andhra Pradesh, Araku (ST)
CHEVULA PARSHURAMULU, Independent, Withdrawn, Telangana, Zahirabad
ANIS ARASHID SUNDAKE, All India Majlis-E-Ittehadul Muslimeen, Accepted, Maharashtra, Pune
BASTIPATI NAGARAJU PANCHALINGALA, Telugu Desam, Accepted, Andhra Pradesh, Kurnoolu
DR MIRDULA, Independent, Rejected, Uttar Pradesh, Etawah
ANURATH SOPANRAO VEER, Independent, Rejected, Maharashtra, Beed
YADISHWAR NAKKA, Telangana Republican Party, Accepted, Telangana, Malkajgiri
SHIV KUMAR, Independent, Accepted, Uttar Pradesh, Shahjahanpur
HARNANDAN SINGH, Independent, Accepted, Uttar Pradesh, Farrukhabad
GANGADEVI MESRAM, Dharma Samaj Party, Accepted, Telangana, Adilabad
WAKHARE PRADIP PANDURANG, Independent, Accepted, Maharashtra, Shirur
BABYLATHA NANDIGAM, Yuvajana Sramika Rythu Congress Party, Rejected, Andhra Pradesh, Bapatla (SC)
PUTREVU NAGA NALINIKANTH, Independent, Rejected, Telangana, Secunderabad
SAIDI REDDY SHANAMPUDI, Bharatiya Janata Party, Accepted, Telangana, Nalgonda
SATYANARAYANA SARVEY, Independent, Withdrawn, Telangana, Malkajgiri
BHARATHA SUDARSHAN, Independent, Rejected, Telangana, Malkajgiri
JAIDEV PARMAR, Independent, Withdrawn, Madhya Pradesh, INDORE
BETHA VIVEKANANDA MAHARAJ, Independent, Accepted, Andhra Pradesh, Srikakulam
SARAVAN SINGH, Independent, Rejected, West Bengal, Bardhaman-Durgapur
RAMESH CHANDRA.GUNDE, Jai Bharat National Party, Rejected, Telangana, Nagarkurnool
ARVIND DHARMAPURI, Bharatiya Janata Party, Accepted, Telangana, Nizamabad
RAVINDRA RANJIT VALVI, Bharat Adivasi Party, Accepted, Maharashtra, Nandurbar
NARENDRAA VEMULA, Jai Swaraj Party, Accepted, Telangana, Bhongir
URELLI YELLAIAH, Viduthalai Chiruthaigal Katchi, Accepted, Telangana, Medak
ANDE YAKAIAH, Independent, Rejected, Telangana, Warangal
YOGESH RANJAN, Proutist Sarva Samaj, Rejected, Bihar, Darbhanga
TANGELLA UDAY SRINIVAS  (TEA TIME UDAY), Janasena Party, Accepted, Andhra Pradesh, Kakinada
THIRIVEDI JAYARAMULU, Independent, Rejected, Andhra Pradesh, Kadapa
ADV TRIMBAK BABURAO JADHAV, Swatantra Bharat Paksha, Withdrawn, Maharashtra, Jalna
RAMRAO JAGANNATH DABHADE, Republican Party of India, Withdrawn, Maharashtra, Jalna
RAJARAM NARAYAN PATIL, Bahujan Samaj Party, Accepted, Maharashtra, Maval
MONIKA MURLIDHAR MOHOL, Independent, Withdrawn, Maharashtra, Pune
BABYLATHA NANDIGAM, Yuvajana Sramika Rythu Congress Party, Rejected, Andhra Pradesh, Bapatla (SC)
AMBETKAR ETIKALA, Independent, Rejected, Telangana, Malkajgiri
ESWARAMMA UBICHERLA, Bhartiya Panchyat Party, Rejected, Andhra Pradesh, Hindupur
RATHOD RAJU, Independent, Withdrawn, Telangana, Adilabad
SAKASEN, Sardar Patel Siddhant Party, Accepted, Uttar Pradesh, Dhaurahra
H D MANJULA GOWD, Independent, Withdrawn, Andhra Pradesh, Hindupur
DR. NAVAL KISHOR SHAKYA, Samajwadi Party, Accepted, Uttar Pradesh, Farrukhabad
HAZRAT ALI, Rashtriya Secular Majlis Party, Rejected, West Bengal, Birbhum
K. JEEVARATHNAM, Independent, Accepted, Andhra Pradesh, Thirupathi(SC)
Dr. MARAPALLY SUDHEER KUMAR, Bharat Rashtra Samithi, Accepted, Telangana, Warangal
KOLLI NAGA RAJU, Independent, Accepted, Andhra Pradesh, Visakhapatnam
JITENDRA MUNIYA, Bharat Adivasi Party, Accepted, Madhya Pradesh, DHAR
URELLI YELLAIAH, Viduthalai Chiruthaigal Katchi, Accepted, Telangana, Medak
PRADEEP PENAMADU, All India Forward Bloc, Accepted, Andhra Pradesh, Rajampet
THIRUPATHI BAVU, Independent, Rejected, Telangana, Malkajgiri
MARLA ANJANEYULU, Jai Swaraj Party, Accepted, Telangana, Mahbubnagar
AHMAD RAHIM SAIKH BAGWAN, Independent, Accepted, Maharashtra, Jalna
RAVINDRA RANJIT VALVI, Independent, Accepted, Maharashtra, Nandurbar
YOGESH DEEPAK RAJAPURKAR, Independent, Withdrawn, Maharashtra, Pune
BHIMRAO AMBEDKAR, Bahujan Samaj Party, Accepted, Uttar Pradesh, Hardoi
KHARAT NACHIKET RAGHUNATH, Independent, Accepted, Maharashtra, Shirdi
KRISHNA PRASAD TENNETI, Telugu Desam, Accepted, Andhra Pradesh, Bapatla (SC)
BANJAPALLY SUDHA RANI, Independent, Accepted, Telangana, Malkajgiri
INDRAJEET KUMAR ROY, Independent, Accepted, Bihar, Begusarai
ADV TRIMBAK BABURAO JADHAV, Independent, Rejected, Maharashtra, Jalna
CHEVULA PARSHURAMULU, Independent, Withdrawn, Telangana, Zahirabad
CHILAKABATHINI STALIN, Independent, Accepted, Telangana, Khammam
PRAKASH HIKAKA, Communist Party of India  (Marxist-Leninist)  (Liberation), Rejected, Odisha, Koraput
SIRISHA KUMARI TENNETI, Telugu Desam, Rejected, Andhra Pradesh, Bapatla (SC)
YENUGUPALLI KRISHNA, Jaibhim Rao Bharat Party, Accepted, Andhra Pradesh, Kakinada
EESARI SURYAPRAKASH REDDY, Independent, Accepted, Telangana, Chevella
SAMUDRALA CHINNA KOTAIAH, Jaibhim Rao Bharat Party, Accepted, Andhra Pradesh, Guntur
RAJARAM NARAYAN PATIL, Bahujan Samaj Party, Accepted, Maharashtra, Maval
GUGULOTH SHEKAR NAIK, Independent, Rejected, Telangana, Mahabubabad
BRAJESH KUMAR TURI, Rashtriya Samanta Dal, Accepted, Jharkhand, Palamau
NAZMIN SHAIKH RAMJAN, Sarva Samaj Janata Party, Withdrawn, Maharashtra, Raver
GANESH BHARGAVI GUNDE, Jai Bharat National Party, Accepted, Telangana, Secunderabad
RAMESH CHANDRA, Samajwadi Party, Rejected, Uttar Pradesh, Baharaich
MARTHA RAJABHADRAIAH, Bharatiya Janata Party, Rejected, Telangana, Warangal
B R AHIRWAR, Bahujan Samaj Party, Accepted, Uttar Pradesh, Misrikh
ANIS ARASHID SUNDAKE, All India Majlis-E-Ittehadul Muslimeen, Accepted, Maharashtra, Pune
GANTLAVELLI RAKESH, Dharma Samaj Party, Accepted, Telangana, Mahbubnagar
P RAMAIAH, Independent, Rejected, Andhra Pradesh, Chittoor(SC)
SUBASH KASHINATH SARODE, Independent, Accepted, Maharashtra, Shirur
SALMAN SAGAR, Jammu & Kashmir National Conference, Rejected, Jammu and Kashmir, SRINAGAR
ESHWAR KOPPULA, Bharat Rashtra Samithi, Accepted, Telangana, Peddapalle
BIKKAVOLU. CHALAMAJI, Navarang Congress Party, Accepted, Andhra Pradesh, Visakhapatnam
N.BHUPATHI, Independent, Accepted, Andhra Pradesh, Chittoor(SC)
PAGADALA KODANDA, Independent, Accepted, Andhra Pradesh, Kurnoolu
SAPAVAT SUMAN, Independent, Rejected, Telangana, Malkajgiri
ABHILASH CHELIMELA, Independent, Accepted, Telangana, Medak
PRABHAKAR REDDY VEMIREDDY, Telugu Desam, Accepted, Andhra Pradesh, Nellore
SARIKA MAKKA, Independent, Rejected, Telangana, Zahirabad
DINESH MAIDA, Akhil Bhartiya Parivar Party, Withdrawn, Madhya Pradesh, RATLAM
ADHIR SWARNAKAR, Independent, Accepted, West Bengal, Baharampur
RAM LAGAN RAI, Bihar Justice Party, Rejected, Bihar, Ujiarpur
KANNAJI LALAM, Independent, Withdrawn, Andhra Pradesh, Anakapalle
PREETI RATHOUR, Akhil Bhartiya Parivar Party, Rejected, Uttar Pradesh, Kanpur
TURAB ALI, Independent, Rejected, Uttar Pradesh, Sitapur
ANAND KUMAR, Bharatiya Janata Party, Accepted, Uttar Pradesh, Baharaich
RADHESHYAM MUVEL, Indian National Congress, Accepted, Madhya Pradesh, DHAR
KOLLA SEETARAM, Independent, Rejected, Telangana, Zahirabad
PRAKASH BHAGWANRAO SOLANKE, Independent, Accepted, Maharashtra, Beed
SHANKAR SAMBHAJI BHARASKAR, Independent, Rejected, Maharashtra, Shirdi
BOODIDHA THIRUPATHI, Independent, Accepted, Telangana, Peddapalle
VIPIN KUMAR, Rashtriya Sanskriti Party, Accepted, Uttar Pradesh, Akbarpur
VEERABRAHMA RAVI, Independent, Rejected, Telangana, Nalgonda
NALLI RAJESH, Independent, Accepted, Andhra Pradesh, Narsapuram
CHILAKABATHINI STALIN, Telugu Rajadhikara Samiti Party, Accepted, Telangana, Khammam
PIDIDHI APPARAO, Independent, Accepted, Andhra Pradesh, Visakhapatnam
BHUVNESH KUMARI, Samyak Party, Rejected, Uttar Pradesh, Etawah
SAGAR SAMBHAJI PORE, Independent, Accepted, Maharashtra, Pune
DR GADDAM RANJITH REDDY, Indian National Congress, Accepted, Telangana, Chevella
SIBA HATI, Samajwadi Party, Accepted, Odisha, Kalahandi
ANILKUMAR GALI, Bharat Rashtra Samithi, Accepted, Telangana, Zahirabad
ANIS ARASHID SUNDAKE, All India Majlis-E-Ittehadul Muslimeen, Accepted, Maharashtra, Pune
DAGGUMALLA PRASADA RAO, Telugu Desam, Accepted, Andhra Pradesh, Chittoor(SC)
VELURU. THEJOVATHI, Samajwadi Party, Accepted, Andhra Pradesh, Thirupathi(SC)
PRASHAST DHEER, All India Forward Bloc, Accepted, Uttar Pradesh, Kanpur
ASHOK KUMAR LAKE, Independent, Withdrawn, Andhra Pradesh, Araku (ST)
KILARI VENKATA ROSAIAH, Yuvajana Sramika Rythu Congress Party, Accepted, Andhra Pradesh, Guntur
SRIBHARAT MATHUKUMILI, Telugu Desam, Accepted, Andhra Pradesh, Visakhapatnam
CHALCHEEMA VENKATESWARLU, Independent, Withdrawn, Andhra Pradesh, Narsaraopet
KRANTI PANDEY, Bahujan Samaj Party, Accepted, Uttar Pradesh, Farrukhabad
SAGAR PRABHAKAR PATIL, Indian National Congress, Rejected, Maharashtra, Raver
PRASHAST DHEER, All India Forward Bloc, Accepted, Uttar Pradesh, Kanpur
RAKESH, Independent, Rejected, Uttar Pradesh, Shahjahanpur
YARAMALA SAMBASIVAREDDY, Independent, Rejected, Andhra Pradesh, Vijayawada
ERRA SURYAM, Viduthalai Chiruthaigal Katchi, Accepted, Telangana, Bhongir
LINGIDI. VENKATESWARLU, Prajavani  Party, Accepted, Telangana, Bhongir
BETHA VIVEKANANDA MAHARAJ, Independent, Accepted, Andhra Pradesh, Srikakulam
BHASKAR BANSIDHARRAO KHANDE, Independent, Accepted, Maharashtra, Beed
MODDU KUMAR, Independent, Rejected, Telangana, Bhongir
POCHA BRAHMANANDA REDDY, Yuvajana Sramika Rythu Congress Party, Accepted, Andhra Pradesh, Nandyal
ESHWAR KOPPULA, Bharat Rashtra Samithi, Accepted, Telangana, Peddapalle
RAPELLY SRINIVAS, Independent, Accepted, Telangana, Nizamabad
SHAIKH ANIS SHAHAMAD, Independent, Rejected, Maharashtra, Jalna
BRAJESH KUMAR TURI, Rashtriya Samanta Dal, Accepted, Jharkhand, Palamau
SAGAR PRABHAKAR PATIL, Independent, Accepted, Maharashtra, Raver
NIDUGONDA KRISHNAIAH, Independent, Withdrawn, Telangana, Nagarkurnool
BHATTU SRINIVAS, Jai Bharat National Party, Accepted, Telangana, Khammam
VEERABRAHMA RAVI, Independent, Rejected, Telangana, Nalgonda
RAMVRIKSHA KUMAR, Independent, Rejected, Bihar, Begusarai
PRASHANT PUNDALIKRAO AVHALE, Independent, Rejected, Maharashtra, Aurangabad
BRAJESH KUMAR TURI, Rashtriya Samanta Dal, Accepted, Jharkhand, Palamau
KHANJAN, Netaji Subhash Chander Bose Rashtriya Azad Party, Accepted, Uttar Pradesh, Kheri
GADEPAKA YELLAIAH, Independent, Rejected, Telangana, Secunderabad
UMAKANT RAMESHWAR MISHRA, Independent, Accepted, Maharashtra, Maval
N DEVARAJULU, Independent, Rejected, Andhra Pradesh, Chittoor(SC)
SAIF KHAN, Parcham Party of India, Accepted, Uttar Pradesh, Unnao
ORSU ALLURAIAH, Independent, Rejected, Telangana, Malkajgiri
DR PRADEEP KUMAR PANIGRAHY, Bharatiya Janata Party, Accepted, Odisha, Berhampur
ALEKAR GORAKH DASHRATH, Independent, Accepted, Maharashtra, Ahmednagar
NIDUGONDA KRISHNAIAH, Independent, Withdrawn, Telangana, Nagarkurnool
GAJULA SOMA SEKHAR, Jai Bharat National Party, Accepted, Andhra Pradesh, Nellore
SHAIK BABJAN, Pyramid Party of India, Rejected, Andhra Pradesh, Hindupur
KASOJU SRIKANTH, Independent, Accepted, Telangana, Medak
SANTOSH, Independent, Rejected, Uttar Pradesh, Farrukhabad
KISHOR MAHAJAN, Indian National Congress, Rejected, Madhya Pradesh, KHANDWA
JALEEL AHMED, Independent, Accepted, Telangana, Chevella
APPARAO ENNETI, Independent, Accepted, Andhra Pradesh, Machilipatnam
SUSHILKUMAR JAHANGIR PAWARA, Independent, Accepted, Maharashtra, Nandurbar
E ANIL KUMAR, Independent, Accepted, Andhra Pradesh, Nandyal
SHAIK HIMAM BASHA, Liberation Congress Party, Rejected, Andhra Pradesh, Kadapa
