name,party_name,status,state,constituency
SURINDER SINGH, Bahujan Samaj Party, Rejected, Chandigarh, Chandigarh
RAJINDRA GOD, Gondvana Gantantra Party, Rejected, Bihar, Buxar
BAJRANGI MAHTHA, Bahujan Samaj Party, Applied, Jharkhand, Godda
PREMA DEVI, Independent, Rejected, Bihar, Jahanabad
AJIT MARANDI, Rashtriya Jansambhavna Party, Accepted, Jharkhand, Rajmahal
SANJEET KUMAR, Peoples Party of India (Democratic), Rejected, Bihar, Jahanabad
SUKHA RAM, Loktantrik Lok Rajyam Party, Rejected, Punjab, Patiala
AJIT MARANDI, Rashtriya Jansambhavna Party, Accepted, Jharkhand, Rajmahal
KAJAL NISHAD, Samajwadi Party, Accepted, Uttar Pradesh, Gorakhpur
ANUPAMA, Bharatiya Janata Party, Rejected, Punjab, Ludhiana
SANDESH, Bahujan Samaj Party, Accepted, Uttar Pradesh, Deoria
MANIK CHANDRA, Independent, Applied, Uttar Pradesh, Mirzapur
KANGNA RANAUT, Bharatiya Janata Party, Accepted, Himachal Pradesh, MANDI
LAKHVEER SINGH, Peoples Party of India (Democratic), Rejected, Punjab, Ludhiana
PRITAMDEV RAMASANKAR RAJBHAR, Nationalist Janshakti Party, Rejected, Uttar Pradesh, Ballia
SHYAM SUNDAR, Independent, Rejected, Uttar Pradesh, Maharajganj
RAJENDRA CHAUDHARY, Independent, Accepted, Uttar Pradesh, Bansgaon
ANAND KUMAR YADAV, Bharatheeya Jawan Kisan Party, Accepted, Uttar Pradesh, Gorakhpur
REENA RAI, Independent, Rejected, Uttar Pradesh, Varanasi
SANDESH, Bahujan Samaj Party, Accepted, Uttar Pradesh, Deoria
RINKI SINGH, Apna Dal (Soneylal), Accepted, Uttar Pradesh, Robertsganj
MUNILAL YADAV, Independent, Accepted, Bihar, Jahanabad
UMESH KUMAR, Independent, Accepted, Punjab, Firozpur
NOOR HASSAN, Samata Party, Applied, Jharkhand, Godda
KANGNA RANAUT, Bharatiya Janata Party, Accepted, Himachal Pradesh, MANDI
SANTOSH, Moulik Adhikar Party, Rejected, Uttar Pradesh, Varanasi
RINKI SINGH, Apna Dal (Soneylal), Accepted, Uttar Pradesh, Robertsganj
SHYAM SUNDAR, Independent, Rejected, Uttar Pradesh, Maharajganj
GOPAL SINGH, Azad Adhikar Sena, Accepted, Uttar Pradesh, Ghosi
NOOR HASSAN, Samata Party, Applied, Jharkhand, Godda
KANGNA RANAUT, Bharatiya Janata Party, Accepted, Himachal Pradesh, MANDI
DIPENDU HAZRA, Independent, Accepted, West Bengal, Kolkata Dakshin
RAJESWAR PRASAD, Rashtriya Samaj Dal (R), Applied, Uttar Pradesh, Mirzapur
KANGNA RANAUT, Bharatiya Janata Party, Accepted, Himachal Pradesh, MANDI
MANOJ HEMBROM, Independent, Applied, Jharkhand, Dumka
RINKI SINGH, Apna Dal (Soneylal), Accepted, Uttar Pradesh, Robertsganj
ANIL TUDU, Lokhit Adhikar Party, Applied, Jharkhand, Dumka
RAJEEV KUMAR RAI, Samajwadi Party, Accepted, Uttar Pradesh, Ghosi
ANKIT SHAH, Bharatiya Yuva Jan Ekta Party, Accepted, Uttar Pradesh, Gorakhpur
ANUPAMA, Bharatiya Janata Party, Rejected, Punjab, Ludhiana
SIKANDAR, Independent, Rejected, Uttar Pradesh, Bansgaon
PRAKASH KUMAR, Independent, Accepted, Uttar Pradesh, Ballia
ANKUSH JINDAL, Independent, Accepted, Punjab, Bathinda
BALWANT SINGH, Nationalist Justice Party, Accepted, Punjab, Firozpur
BHARATLAL, Gondvana Gantantra Party, Rejected, Uttar Pradesh, Robertsganj
KULWANT KAUR, Sanjhi Virasat Party, Accepted, Punjab, Faridkot
RAJEEV KUMAR RAI, Samajwadi Party, Accepted, Uttar Pradesh, Ghosi
PREM PRAKASH, Independent, Rejected, Uttar Pradesh, Gorakhpur
CHANDESHWAR PRASAD, Independent, Accepted, Bihar, Jahanabad
SHEKH IMANUR RAHMAN, Independent, Accepted, West Bengal, Dum dum
PREM PRAKASH, Independent, Rejected, Uttar Pradesh, Gorakhpur
KAMISHNAR MURMU, Independent, Applied, Jharkhand, Dumka
RAMPRIT MOCHI, Ambedkar National Congress, Rejected, Bihar, Patna Sahib
RADHESHYAM INSAN, Bhartiya Republican Party (Insan), Applied, Uttar Pradesh, Mirzapur
SINDHUPADA BAIRAGI, Independent, Accepted, West Bengal, Joynagar
GANGA PRASAD, Sardar Patel Siddhant Party, Rejected, Uttar Pradesh, Deoria
KRISHNA MOHAN CHOUBEY, Independent, Applied, Jharkhand, Godda
GOVIND SINGH THAKUR, Bharatiya Janata Party, Rejected, Himachal Pradesh, MANDI
HEMANT KUMAR YADAV, Manviya Bharat Party, Rejected, Uttar Pradesh, Varanasi
BHARATLAL, Gondvana Gantantra Party, Rejected, Uttar Pradesh, Robertsganj
KULDIP RAI, Independent, Accepted, Chandigarh, Chandigarh
