const_id,cand_id,votes
2826,cand103,2210
2826,cand104,250802
2826,cand105,3046
2826,cand106,1275
2826,cand107,2653
2826,cand108,2684
2827,cand109,676809
2827,cand110,8412
2827,cand111,20378
2827,cand112,510884
2827,cand113,2935
2827,cand114,76827
2827,cand115,1879
2827,cand116,1261
2827,cand117,1648
2827,cand118,3010
2828,cand119,512612
2828,cand120,6481
2828,cand121,12310
2828,cand122,572850
2828,cand123,3627
2828,cand124,113442
2828,cand125,1017
2828,cand126,826
2828,cand127,846
2828,cand128,774
2828,cand129,895
2828,cand130,4789
2829,cand131,18504
2829,cand132,575498
2829,cand133,16261
2829,cand134,566772
2829,cand135,2457
2829,cand136,434
2829,cand137,480
2829,cand138,81650
2829,cand139,685
2829,cand140,412
2829,cand141,1049
2829,cand142,688
2829,cand143,953
2829,cand144,1739
2829,cand145,1218
2830,cand146,587918
2830,cand147,11841
2830,cand148,583713
2830,cand149,14205
2830,cand150,810
2830,cand151,447
2830,cand152,437
2830,cand153,920
2830,cand154,129205
2830,cand155,3216
2830,cand156,1746
2830,cand157,641
2830,cand158,1017
2830,cand159,563
2830,cand160,628
2830,cand161,2676
2830,cand162,2909
2830,cand163,629
2830,cand164,1947
2831,cand165,15486
2831,cand166,11033
2831,cand167,591555
2831,cand168,745557
2831,cand169,2894
2831,cand170,887
2831,cand171,51008
2831,cand172,418
2831,cand173,365
2831,cand174,622
2831,cand175,2685
2831,cand176,1000
2831,cand177,1383
2832,cand178,10351
2832,cand179,42580
2832,cand180,598257
2832,cand181,582192
2832,cand182,13155
2832,cand183,885
2832,cand184,530
2832,cand185,466
2832,cand186,370
2832,cand187,606
2832,cand188,655
2832,cand189,1276
2832,cand190,1951
2833,cand191,8229
2833,cand192,739202
2833,cand193,524351
2833,cand194,8139
2833,cand195,811
2833,cand196,29379
2833,cand197,3258
2833,cand198,1073
2833,cand199,565
2833,cand200,673
2833,cand201,1160
2833,cand202,1451
2833,cand203,3212
2834,cand204,9066
2834,cand205,14420
2834,cand206,720888
2834,cand207,470769
2834,cand208,4089
2834,cand209,937
2834,cand210,649
2834,cand211,673
2834,cand212,38871
2834,cand213,847
2834,cand214,668
2834,cand215,767
2834,cand216,4542
2834,cand217,3103
2834,cand218,6099
2834,cand219,4852
2834,cand220,2543
2834,cand221,1429
2834,cand222,2382
2834,cand223,1708
2835,cand224,36500
2835,cand225,456395
2835,cand226,24418
2835,cand227,19065
2835,cand228,605462
2835,cand229,7293
2835,cand230,1231
2835,cand231,3282
2835,cand232,1285
2835,cand233,1229
2835,cand234,2107
2835,cand235,1506
2835,cand236,1702
2835,cand237,2751
2835,cand238,9807
2835,cand239,6577
2836,cand240,20294
2836,cand241,695208
2836,cand242,553780
2836,cand243,30079
2836,cand244,7604
2836,cand245,728
2836,cand246,1220
2836,cand247,899
