cand_id,cand_name,party_name,state,const_name
cand1166,"AMAR SINGH CHAUDHARY","Aazad Samaj Party (Kanshi Ram)","Uttar Pradesh",Domariyaganj
cand1167,"SUSHANT KUMAR NAIK",Independent,Odisha,Keonjhar
cand1168,DHANANJAY,Independent,"Uttar Pradesh",Pratapgarh
cand1169,"SUNIL KUMAR",Independent,"NCT OF Delhi","Chandni Chowk"
cand117,"BALWANT SINGH","Nationalist Justice Party",Punjab,Firozpur
cand1170,"BIDYUT BARAN MAHATO","Bharatiya Janata Party",Jharkhand,Jamshedpur
cand1171,"SURAJIT SINGH KURMALI",Independent,"West Bengal",Bankura
cand1172,"LALIT KUMAR",Independent,Haryana,ROHTAK
cand1173,"DINANATH MANJHI","All India Majlis-E-Ittehadul Muslimeen",Bihar,Gopalganj
cand1174,"DEEPAK SHARMA","Bharatiya Jan Jagriti Party","NCT OF Delhi","West Delhi"
cand1175,"SURENDER SINGH",Independent,Haryana,SONIPAT
cand1176,"MAHABAL MISHRA","Aam Aadmi Party","NCT OF Delhi","West Delhi"
cand1177,"SYED YASHIR NAWAZ","Indian National Congress",Odisha,Bhubaneswar
cand1178,BRIJABALA,"Peoples Party of India (Democratic)",Haryana,FARIDABAD
cand1179,"ISHWAR JHAJHRIA",Independent,Haryana,HISAR
cand118,"KULWANT KAUR","Sanjhi Virasat Party",Punjab,Faridkot
cand1180,"SUKHDEV SINGH SANDHU",Independent,Haryana,SIRSA
cand1181,"JAYANARAYAN PATTANAYAK","Indian National Congress",Odisha,Puri
cand1182,"ARUN KUMAR SHARMA","Bhartiya Azad Sena",Jharkhand,Jamshedpur
cand1183,"DHIRENDRA KUMAR TIWARI",Independent,"Uttar Pradesh",Bhadohi
cand1184,"CHANDER PAL SONI",Independent,"NCT OF Delhi","NORTH WEST DELHI"
cand1185,"GEETA DEVI","Bhartiya Lokmat Rashtrwadi Party","Uttar Pradesh",Pratapgarh
cand1186,"RAJESH KUMAR S/O VISHUN SAH",Independent,Bihar,"Purvi Champaran"
cand1187,"SHIV NARAYAN BABA DUBEY","Kisan Mazdoor Sangharsh Party",Haryana,FARIDABAD
cand1188,"INDU CHAUDHRI","Bahujan Samaj Party","Uttar Pradesh",Lalganj
cand1189,"MOHAMMAD MAHTAB ALAM","Samaj Shakti Party",Bihar,Sheohar
cand119,"CHANDESHWAR PRASAD",Independent,Bihar,Jahanabad
cand1190,"AKHILESHWAR PRASAD SINGH","All India Majlis-E-Ittehadul Muslimeen",Bihar,Maharajganj
cand1191,"NAWAL KISHOR PRASAD","Viro Ke Vir Indian Party",Bihar,"Purvi Champaran"
cand1192,"PRAMOD KUMAR",Independent,"Uttar Pradesh",Basti
cand1193,"VINEET CHOUDHARY","Bharatiya Asha Party",Haryana,KARNAL
cand1194,"PUSHPA NAGRA",Independent,"NCT OF Delhi","NORTH WEST DELHI"
cand1195,"DR. VINOD KUMAR BIND","Bharatiya Janata Party","Uttar Pradesh",Bhadohi
cand1196,"RAN SINGH PANWAR",Independent,Haryana,SIRSA
cand1197,"ACHLA JETHMALANI","Jindabad Kranti Party","NCT OF Delhi","New Delhi"
cand1198,"BALWAN SINGH",Independent,Haryana,KARNAL
cand1199,"MD AINUL ANSARI","Bahujan Mukti Party",Jharkhand,Giridih
cand12,"KULDEEP SINGH","India Praja Bandhu Party",Punjab,Firozpur
cand120,"SHEKH IMANUR RAHMAN",Independent,"West Bengal","Dum dum"
cand1200,"JAIRAM KUMAR MAHATO",Independent,Jharkhand,Giridih
cand1201,"POONAM SRIVASTAVA",Independent,"NCT OF Delhi","South Delhi"
cand1202,"YOGESH CHAUDHARY","Bhartiya Veer Dal","NCT OF Delhi","East Delhi"
cand1203,"BETA MAM CHAND RATTUWALA","Bharatiya Yuva Jan Ekta Party",Haryana,AMBALA
cand1204,"MOHRAM ALI",Independent,"Uttar Pradesh",Pratapgarh
cand1205,"VINOD KUMAR GUPTA","Akhil Bhartiya Parivar Party","NCT OF Delhi","Chandni Chowk"
cand1206,"K M KAJAL","Public Political Party","NCT OF Delhi","NORTH WEST DELHI"
cand1207,"OM SHANKAR",Independent,"NCT OF Delhi","East Delhi"
cand1208,"RAJESH KUMAR S/O GAGANLAL SAHNI",Independent,Bihar,"Purvi Champaran"
cand1209,"SANTOSH KUMAR MISHRA",Independent,Odisha,Bhubaneswar
cand1210,"BHARAT BHUSHAN","Bhartiya Shakti Chetna Party",Haryana,BHIWANI-MAHENDRAGARH
cand1211,"MD. NADEEM","Bahujan Samaj Party","Uttar Pradesh",Domariyaganj
cand1212,"SANTOSH KUMAR MISHRA",Independent,Odisha,Bhubaneswar
cand1213,"KHAGESWAR BEHERA","Rashtriya Manav Party",Odisha,Sambalpur
cand1214,"BANTO KATARIA","Bharatiya Janata Party",Haryana,AMBALA
cand1215,"SOBHA PANDEY",Independent,Odisha,Puri
cand1216,"DIVYANSHU BUDHIRAJA","Indian National Congress",Haryana,KARNAL
cand1217,"JAI SINGH",Independent,Haryana,BHIWANI-MAHENDRAGARH
cand1218,KALAWATI,Independent,Haryana,ROHTAK
cand1219,"AJEET PRATAP",Independent,"Uttar Pradesh",Pratapgarh
cand122,"KULDIP RAI",Independent,Chandigarh,Chandigarh
cand1220,"NAND RAM BAGRI","Voters Party  International","NCT OF Delhi","NORTH WEST DELHI"
cand1221,"RAJIV KANT MISHRA",Independent,"NCT OF Delhi","West Delhi"
cand1222,"PRAMOD KUREEL","Bahujan National Party (Ambedkar)","NCT OF Delhi","West Delhi"
cand1223,"NIRMAL SINGH",Independent,Haryana,SONIPAT
cand1224,"RANG BAHADUR",Independent,"Uttar Pradesh",Machhlishahr
cand1225,"RITU JAISWAL","Rashtriya Janata Dal",Bihar,Sheohar
cand1226,"RAGHUMANI NAIK",Independent,Odisha,Keonjhar
cand1227,"ENGINEER MAHAVIR SINGH YADAV",Independent,Haryana,BHIWANI-MAHENDRAGARH
