name,party_name,state,constituency
RAJESHAM RACHARLA,Independent,Telangana,Peddapalle
ENGINEER BALUSINGH GAMAD,Bharat Adivasi Party,Madhya Pradesh,RATLAM
JAGADEESH RAYAPATI,Independent,Andhra Pradesh,Ongole
PEERUBANDI PRAKASH RAO,Bahujan Samaj Party,Andhra Pradesh,Vizianagaram
SHYAMVEER SINGH,Bharatiya Nagrik Party,Uttar Pradesh,Farrukhabad
SHANIYA ORAON,Independent,Jharkhand,Lohardaga
SURYA TEJA KOTA,Pyramid Party of India,Andhra Pradesh,Ongole
LALIT KUMAR,Bhartiya Shakti Chetna Party,Uttar Pradesh,Misrikh
AVUTAPALLI RAMBABU,Independent,Telangana,Khammam
STEPHAN KINDO,Independent,Jharkhand,Lohardaga
KARAN BALASAHEB PATIL - PAWAR,Shiv Sena (Uddhav Balasaheb Thackeray),Maharashtra,Jalgaon
MOHANSINGH NINGWAL,Bhartiya Samajik Party,Madhya Pradesh,RATLAM
MOHAMMED SALEEM,Rashtriya Praja Congress  (Secular),Telangana,Chevella
SAROJ CHAUDHARY,Mithilanchal Mukti Morcha,Bihar,Darbhanga
SANGARAJU NAGESWARA RAJU,Independent,Andhra Pradesh,Rajampet
SANAN RAM,Lokhit Adhikar Party,Jharkhand,Palamau
G.V.RAMANA REDDY,Independent,Andhra Pradesh,Ananthapur
URUKUNDU VADDE,Independent,Andhra Pradesh,Kurnoolu
RUDRAPAKA RATNA RAO (R.R.R),Andhra Rastra Praja Samithi,Andhra Pradesh,Eluru
SHAIKH EJAJ SHAIKH UMAR,Independent,Maharashtra,Beed
RAMESH BABU SHANIGARAPU,Independent,Telangana,Warangal
DEVARAPALLI MALLIKARJUNA RAO (MAHESH),Independent,Andhra Pradesh,Vijayawada
PASUPULETI S.V.S.BHUSHANAM,Independent,Andhra Pradesh,Kakinada
P.JANAKI RAMA RAO ( BABU),National Maha Sabha Party,Andhra Pradesh,Chittoor(SC)
PARRE. KOTAIAH,Jaibhim Rao Bharat Party,Andhra Pradesh,Bapatla (SC)
L. KHAJA HUSSAIN,Independent,Andhra Pradesh,Kadapa
KANDIKEKAR SRINIVAS,Independent,Telangana,Chevella
SHYAM KISHOR AWASTHI,Bahujan Samaj Party,Uttar Pradesh,Dhaurahra
ARE RAJENDHAR,Independent,Telangana,Nizamabad
SANEM RAJU GOUD,Praja Ektha Party,Telangana,Chevella
AGASTEEN KOMMINA,Independent,Andhra Pradesh,Eluru
SINGAMNENI SREEKANTH,Independent,Andhra Pradesh,Ongole
DEVENDRA SINGH ALIAS BHOLE SINGH,Bharatiya Janata Party,Uttar Pradesh,Akbarpur
KIRAN,Rashtriya Sanatan Party,Uttar Pradesh,Shahjahanpur
RAMESH BABU SHANIGARAPU,Independent,Telangana,Warangal
JAGANNATH SARKAR,Bharatiya Janata Party,West Bengal,Ranaghat
STEPHAN KINDO,Independent,Jharkhand,Lohardaga
ABDUL RAJAK SHAIK,Independent,Andhra Pradesh,Narsaraopet
DR. MENDEM SANTHOSH KUMAR (PEDDA BABULU),Liberation Congress Party,Andhra Pradesh,Eluru
BODDU KRANTHI KUMAR,Independent,Andhra Pradesh,Ongole
LOKHANDE SADASHIV KISAN,Shiv Sena,Maharashtra,Shirdi
YEDDU LAKSHMINARAYANA,Independent,Andhra Pradesh,Srikakulam
"KONGARI, MALLAIAH",Independent,Telangana,Bhongir
ASHWINI PRATIBHA KHAIRNAR,Independent,Maharashtra,Pune
CHANDRAKANT SAMBHAJI DONDE,Independent,Maharashtra,Shirdi
SUSHIL DNYANDEV KANSE,Independent,Maharashtra,Shirur
BABITA KACHHAP,Bharat Adivasi Party,Jharkhand,Khunti
ALAKESH DAS,Communist Party of India  (Marxist),West Bengal,Ranaghat
MOHAMMED ABDUL QAVI ABBASI,All India Majlis-E-Inquilab-E-Millat,Telangana,Chevella
SUJIT PAL,Independent,West Bengal,Asansol
LINGAM KRISHNA,Independent,Telangana,Nalgonda
BOMMASANI MUTYALA RAO,All Peoples Party,Andhra Pradesh,Guntur
THOTLA RAGHAVENDER MUDIRAJ,Dharma Samaj Party,Telangana,Chevella
ABHIJEET ASHOKRAO POTE,Independent,Maharashtra,Shirdi
BODDETI APPARAO,Independent,Andhra Pradesh,Kakinada
SANJAY LAXMAN PADWAL,Bhartiya Navjawan Sena (Paksha),Maharashtra,Shirur
RAMCHANDRA SOLANKI,Bahujan Samaj Party,Madhya Pradesh,RATLAM
RATHOD SUBASH,Independent,Telangana,Adilabad
NARAYAN PRABHAKAR ANKUSHE,Bharatheeya Jawan Kisan Party,Maharashtra,Shirur
MAHADHEV SWAMI MATAM,Independent,Telangana,Zahirabad
DR. SUJAY RADHAKRISHNA VIKHEPATIL,Bharatiya Janata Party,Maharashtra,Ahmednagar
DURGA PALVANCHA,Independent,Telangana,Mahabubabad
SATABDI ROY,All India Trinamool Congress,West Bengal,Birbhum
PAPPULA SAMBASIVA RAO,Navarang Congress Party,Andhra Pradesh,Narsaraopet
MAHADHEV SWAMI MATAM,Independent,Telangana,Zahirabad
DURGA PALVANCHA,Independent,Telangana,Mahabubabad
JAGANNATH KISAN UGALE,Independent,Maharashtra,Aurangabad
VIJAY RANN,Independent,Madhya Pradesh,MANDSOUR
DR. KAILASH NIVRUTTI JADHAV,Maharashtra Vikas Aghadi,Maharashtra,Ahmednagar
ANIL FIROJIYA,Bharatiya Janata Party,Madhya Pradesh,UJJAIN
BHAGWAT DHONDIBA GAIKWAD,Samata Party,Maharashtra,Ahmednagar
SANJAY SINGH,"Proutist Bloc, India",Uttar Pradesh,Kanpur
SYED ASGAR,Independent,Telangana,Nizamabad
DR HEENA VIJAYKUMAR GAVIT,Bharatiya Janata Party,Maharashtra,Nandurbar
SYED KHAMURUNNISA,Navarang Congress Party,Andhra Pradesh,Vijayawada
ADV. JAMIR SHAIKH,Independent,Maharashtra,Ahmednagar
S RAGHUNATHA REDDY,Independent,Andhra Pradesh,Hindupur
MEDA SRINIVASA RAO,Rashtriya Praja Congress  (Secular),Andhra Pradesh,Rajahmundry
PASTAR SANJAY KUMAR TIRKEY,Independent,Jharkhand,Khunti
AKKAPAKA THIRUPATHI,Independent,Telangana,Peddapalle
PRABHU NATH SAH,Bahujan Samaj Party,West Bengal,Bardhaman-Durgapur
KOPPALA RAGHU,Independent,Andhra Pradesh,Nellore
DEVUNOORI SRINIVASU,Independent,Telangana,Karimnagar
SHAIK. KHAJAVALI,Independent,Andhra Pradesh,Guntur
GOVERDHAN BAJIREDDY,Bharat Rashtra Samithi,Telangana,Nizamabad
MOHAMMAD KHAJA MOINUDDIN CHISTI PASHA,Andhra Pradesh Rashtra Samithi,Andhra Pradesh,Guntur
THALLAPALLY VENKATAIAH,Independent,Telangana,Warangal
MACHCHERLA VENKATA REDDY,Independent,Telangana,Secunderabad
YAMPATI VEERANJANEYA REDDY,Independent,Andhra Pradesh,Narsaraopet
RAPELLY SRINIVAS,Independent,Telangana,Nizamabad
PATHAN YUSUF,All India Trinamool Congress,West Bengal,Baharampur
NISAR AHMAD AHANGAR,Independent,Jammu and Kashmir,SRINAGAR
SUKRITI GHOSAL,Communist Party of India  (Marxist),West Bengal,Bardhaman-Durgapur
GATTAIAH YADAV BARIGE,Independent,Telangana,Karimnagar
DR. NIRMAL KUMAR SAHA,Bharatiya Janata Party,West Bengal,Baharampur
CH P MALLESWARUDU,Independent,Andhra Pradesh,Nandyal
GATTAIAH YADAV BARIGE,Independent,Telangana,Karimnagar
AJIT KUMAR MANDAL,Independent,West Bengal,Baharampur
KUNCHAM. VENKATA SUBBA REDDY,Rayalaseema Rashtra Samithi,Andhra Pradesh,Kadapa
PADIGA YARRAIAH,Independent,Telangana,Mahabubabad
KUNCHAM. VENKATA SUBBA REDDY,Independent,Andhra Pradesh,Kadapa
AARNAKONDA RAJU,Independent,Telangana,Peddapalle
VANDNA  VERMA,Naari Nar Rakshak Party,Uttar Pradesh,Misrikh
ANIL KUMAR MADDINENI,Independent,Telangana,Khammam
THOKALA NAGA RAJU,All India Forward Bloc,Andhra Pradesh,Narsaraopet
ARVIND KUMAR SRIVASTAVA,Independent,Uttar Pradesh,Kanpur
DUBALA SRI SAILAM,Independent,Telangana,Medak
N DASARADHA RAMI REDDY,All India Jaihind Party,Andhra Pradesh,Vijayawada
ABBADI BUCHI REDDY,Independent,Telangana,Karimnagar
Y.S. SHARMILA REDDY,Indian National Congress,Andhra Pradesh,Kadapa
KOTAGIRI SRINIVAS,Independent,Telangana,Nizamabad
VAISHNAVI PRASAD,Independent,Telangana,Malkajgiri
SIMHADRI CHANDRA SEKHAR RAO,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,Machilipatnam
MAHENDRA SINGH SOLANKY,Bharatiya Janata Party,Madhya Pradesh,DEWAS
MADDISETTY YERRAPPA @ AJAY,Independent,Telangana,Khammam
PRASHANT RAMKRISHNA BHAGAT,Bharatheeya Jawan Kisan Party,Maharashtra,Maval
MALVIKA DEVI,Bharatiya Janata Party,Odisha,Kalahandi
AVASHYA LAHARI . VARAM,Bahujan Samaj Party,Andhra Pradesh,Araku (ST)
UTKARSH VERMA  'MADHUR',Samajwadi Party,Uttar Pradesh,Kheri
SIYYADULA YELLA RAO,Independent,Andhra Pradesh,Vizianagaram
ASIT KUMAR MAL,All India Trinamool Congress,West Bengal,Bolpur
LINGAIAH DANDA,Independent,Telangana,Khammam
RAJENDRASINGH CHOKHUTIYA,Bahujan Samaj Party,Madhya Pradesh,DEWAS
VISHNU REDDY LANKIREDDY,Bengaluru Nava Nirmana Party,Andhra Pradesh,Guntur
ARVIND KUMAR,Bhartiya Awam Party (Rastriya),Uttar Pradesh,Baharaich
BHARATHA SUDARSHAN,Independent,Telangana,Malkajgiri
LINGAIAH DANDA,Independent,Telangana,Khammam
AVDHESH,Independent,Uttar Pradesh,Misrikh
LINGAIAH DANDA,Independent,Telangana,Khammam
GAGGERA VENKATA RAMANAIAH,Independent,Andhra Pradesh,Nandyal
NEETISH KUMAR,Independent,Bihar,Munger
NALAMALA TIRUPATI RAO,Navataram Party,Andhra Pradesh,Bapatla (SC)
KASTURI OBAIAH NAIDU,Independent,Andhra Pradesh,Rajampet
CHAGANTIPATI GANGADHAR GANDHI,Pyramid Party of India,Andhra Pradesh,Vijayawada
MUKESH MULCHAND KOLI,Independent,Maharashtra,Jalgaon
VADLA KESAVAIAH,Independent,Andhra Pradesh,Ananthapur
ADVOCATE VIDAYARAJ MALAVIY,Social Democratic Party Of India,Madhya Pradesh,DEWAS
KOTHA BALIJA BASWARAJ,Telangana Praja Shakthi Party,Telangana,Zahirabad
LOVARAJU SIDDHA,Independent,Andhra Pradesh,Anakapalle
KANTE SAYANNA,Independent,Telangana,Malkajgiri
ARUNA THALLAPALLY,Alliance of Democratic Reforms Party,Telangana,Karimnagar
MANGESH SANJAY SABLE,Independent,Maharashtra,Jalna
SHRIRANG APPA CHANDU BARNE,Shiv Sena,Maharashtra,Maval
LAMBODAR NIAL,Biju Janata Dal,Odisha,Kalahandi
PANUGOTU LALASINGH,Independent,Telangana,Nalgonda
G MALLESHAM GOUD,Independent,Telangana,Chevella
SHEEBAN ASHAI,Independent,Jammu and Kashmir,SRINAGAR
MANGESH SANJAY SABLE,Independent,Maharashtra,Jalna
MANGESH SANJAY SABLE,Independent,Maharashtra,Jalna
MANDA NARESH,Independent,Telangana,Warangal
RAMULA KARTHIK,Independent,Telangana,Peddapalle
GADDAM MARUTHI,Independent,Telangana,Peddapalle
SUDESH KUMAR,Lok Jan Sangharsh Party,Uttar Pradesh,Dhaurahra
TEJAVATH JOGRAM NAIK,Independent,Telangana,Khammam
SANGALA FLORY,Independent,Telangana,Secunderabad
MOHAMMED AFSAR QUDOOS,Independent,Telangana,Chevella
NIRAB KHAN,Communist Party of India  (Marxist),West Bengal,Bardhaman Purba
TEJAVATH JOGRAM NAIK,Independent,Telangana,Khammam
SAEED AHAMAD,Independent,Madhya Pradesh,MANDSOUR
VARIKUPPALA. KRISHNA VADDERA,Independent,Telangana,Bhongir
DEVENDAR KONNE,Independent,Telangana,Secunderabad
DR. DHARMANANDA GAHIR,Independent,Odisha,Kalahandi
SANJAY PRALHAD KANDELKAR,Independent,Maharashtra,Raver
ADLA KUMAR,Independent,Telangana,Medak
VANKAYALA RAMACHANDRA RAO,Independent,Andhra Pradesh,Anakapalle
PORLAL BATHA KHARTE,Indian National Congress,Madhya Pradesh,KHARGONE
KRUPAVARAM GANDU,Independent,Telangana,Secunderabad
DHANANJAY RUPRAOJI KAKDE (PATIL),Bharatheeya Jawan Kisan Party,Maharashtra,Jalna
KRUPAVARAM GANDU,Independent,Telangana,Secunderabad
VELCHALA RAJENDER RAO,Indian National Congress,Telangana,Karimnagar
INDRAJEET D GOND,Independent,Maharashtra,Maval
ANTHONI SURESH,Bahujana Left Party,Telangana,Khammam
S.M. SADI,Communist Party of India  (Marxist),West Bengal,Krishnanagar
SANJAY PRALHAD KANDELKAR,Independent,Maharashtra,Raver
RAMESH. SAJJAPUR.,Independent,Telangana,Zahirabad
SANJAY PRALHAD KANDELKAR,Independent,Maharashtra,Raver
M UMADEVI,Janata Congress,Andhra Pradesh,Thirupathi(SC)
K. MURALI KRISHNA,Independent,Telangana,Secunderabad
AMIR SAJID,Independent,Telangana,Chevella
V CHANDRA SHEKHAR,Independent,Odisha,Berhampur
SHYAMALI PRADHAN,Communist Party of India  (Marxist),West Bengal,Bolpur
BOTLA CHANDRAIAH,Independent,Telangana,Peddapalle
PRAVIN LAXMAN PATIL,Independent,Maharashtra,Raver
P C LINGANNA,Independent,Telangana,Secunderabad
BOTLA CHANDRAIAH,Independent,Telangana,Peddapalle
BASHABOINA LAKSHMAIAH,Independent,Telangana,Bhongir
PRASANGI,Pyramid Party of India,Telangana,Nagarkurnool
MANNE LEELA RAMA NARENDRA,Pyramid Party of India,Andhra Pradesh,Narsapuram
SYED KHADER,Independent,Telangana,Secunderabad
AMRITA ROY,Bharatiya Janata Party,West Bengal,Krishnanagar
DODDAPANENI RAJA NAIDU,Independent,Andhra Pradesh,Rajampet
ABDHESH KUMAR ROY,Communist Party of India,Bihar,Begusarai
REDDEPPA.N .,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,Chittoor(SC)
BOCHU RAJU,Independent,Telangana,Warangal
GAVVALA LAXMI,Independent,Telangana,Karimnagar
BOMMAKANTI SOWMYA,Pyramid Party of India,Telangana,Secunderabad
SREENIVASULU MARRIPATI,Independent,Andhra Pradesh,Rajampet
YUVRAJ CHANDRAKANT  LIMBOLE,Right to Recall Party,Maharashtra,Pune
NARESH JANAGAMA,Independent,Telangana,Peddapalle
BALIJA SHIVA KUMAR,Independent,Andhra Pradesh,Nandyal
MARRI NEHEMIAH,Independent,Telangana,Nalgonda
V PANDU,Independent,Telangana,Chevella
EDURUGATLA CHITTI MALLU,Independent,Telangana,Khammam
GUDAVALLI VENKATA KEDARESWARA RAO,Independent,Andhra Pradesh,Machilipatnam
SANGEPAGA SAROJANAMMA,Independent,Telangana,Mahbubnagar
RAJNISH KUMAR MUKHIYA,Rashtriya Jansambhavna Party,Bihar,Begusarai
MALEPU MOHAN REDDY,Pyramid Party of India,Telangana,Zahirabad
BHAGWAN SAHEBRAO REGUDE,Hindustan Janta Party,Maharashtra,Jalna
NAIDUGARI RAJASEKHAR,Bahujan Samaj Party,Andhra Pradesh,Srikakulam
K. LAXMINARAYANA,Independent,Telangana,Medak
MULKALLA RAJENDRAPRASAD,Independent,Telangana,Peddapalle
RAJIV RANJAN SINGH ALIAS LALAN SINGH,Janata Dal  (United),Bihar,Munger
EESARI SURYAPRAKASH REDDY,Independent,Telangana,Chevella
MEKALA AKSHAY KUMAR,Independent,Telangana,Peddapalle
ASHOK PASWAN ADVOCATE,Sabhi Jan Party,Uttar Pradesh,Akbarpur
YABES ALIAS AMOL SHAMUVEL TUJARE,Independent,Maharashtra,Pune
SHANTA DAS,Mulnibasi Party of India,West Bengal,Bolpur
SUNNY KUMAR SAH,Bahujan Samaj Party,West Bengal,Asansol
KISHOR KUMAR DAS,Akhil Bhartiya Parivar Party,Bihar,Darbhanga
NARESH HIANLA,Independent,Odisha,Kalahandi
GONDHI BHUJANGAMU,Independent,Telangana,Medak
NARESH HIANLA,Independent,Odisha,Kalahandi
NARAYAN SUKHADEV PAL,Bharatiya Yuva Jan Ekta Party,Madhya Pradesh,KHANDWA
BABA SALIM SAYYED,Independent,Maharashtra,Pune
AMBORE MANJUNATH MARUTI,Independent,Maharashtra,Pune
V.C. NAVEEN GUPTA,Independent,Andhra Pradesh,Thirupathi(SC)
JAGADEESH RAYAPATI,Independent,Andhra Pradesh,Ongole
BANDAPALLY SRINIVAS,Socialist Unity Centre Of India (COMMUNIST),Telangana,Medak
ISMAT ARA MONDAL,Socialist Unity Centre Of India (COMMUNIST),West Bengal,Krishnanagar
PARESH HALDAR,Socialist Unity Centre Of India (COMMUNIST),West Bengal,Ranaghat
AKUMALLA MALLIKARJUNA REDDY,Independent,Andhra Pradesh,Ongole
SAURAV MUDI,Independent,West Bengal,Birbhum
DOLA SARKAR,Indian National Socialistic Action Forces,West Bengal,Birbhum
DR. KALGE SHIVAJI BANDAPPA,Indian National Congress,Maharashtra,Latur
PRAMILA PUJARI,Socialist Unity Centre Of India (COMMUNIST),Odisha,Koraput
ALTE VISHWANATH MAHADEV,Bahujan Samaj Party,Maharashtra,Latur
SUDHAKAR TUKARAM SHRANGARE,Bharatiya Janata Party,Maharashtra,Latur
MUKESH GOVINDRAO GHODAKE,Independent,Maharashtra,Latur
NARSINGRAO UDGIRKAR,Vanchit Bahujan  Aaghadi,Maharashtra,Latur
PRAVIN MADHAV JOHARE,Swarajya Sena (Maharashtra),Maharashtra,Latur
SHANKAR HARI TADAKHE,Baliraja Party,Maharashtra,Latur
SUDHAKAR TUKARAM SURYAWANSHI,Independent,Maharashtra,Latur
UMESH AMBADAS KAMBLE,Independent,Maharashtra,Latur
BALAJI SHESHRAO BANSODE,Independent,Maharashtra,Latur
PANKAJ GOPALRAO WAKHARADAKAR,Independent,Maharashtra,Latur
SHRIKANT BABURAO HOVAL,Bahujan Mukti Party,Maharashtra,Latur
PANCHSHIL VIKRAM KAMBLE,Independent,Maharashtra,Latur
PANCHSHIL VIKRAM KAMBLE,Independent,Maharashtra,Latur
LAKHAN RAJARAM KAMBLE,Rashtriy Bahujan Party,Maharashtra,Latur
BALAJI TUKARAM GAIKWAD,Bharat Peoples Sena,Maharashtra,Latur
DEEPAK KEDAR,Independent,Maharashtra,Latur
BHARAT HARIBA NANAWARE,Peoples Party of India (Democratic),Maharashtra,Latur
ADV. PRADIP S. CHINCHOLIKAR,Independent,Maharashtra,Latur
AMOL MALU HANMANTE,Independent,Maharashtra,Latur
ATITHI KHANDERAO SURYVANSHI,Swarajya Shakti Sena,Maharashtra,Latur
VIKAS KONDIBA SHINDE,Maharashtra Vikas Aghadi,Maharashtra,Latur
BANSODE RAGHUNATH WAGHOJI,Independent,Maharashtra,Latur
DATTU SOPAN NARSINGE,Independent,Maharashtra,Latur
ABHANG GANGARAM SURYAWANSHI,Independent,Maharashtra,Latur
KADUBA MHATARBA INGLE,Independent,Maharashtra,Jalna
SRINIVASA RAJU.O,Bhartiya Panchyat Party,Andhra Pradesh,Ananthapur
GOUTI MALLESH,Independent,Telangana,Medak
RAGI ANIL,Independent,Telangana,Nizamabad
BIJOY KUMAR SARKAR,Independent,West Bengal,Maldaha Dakshin
DUBALA SRI SAILAM,Independent,Telangana,Medak
JALALUDDIN SARKAR,Bharatiya Nyay-Adhikar Raksha Party,West Bengal,Maldaha Dakshin
ADARI SARAT CHANDRA,Jai Bharat National Party,Andhra Pradesh,Anakapalle
ASIM MANDAL,Jan Sangh Party,West Bengal,Maldaha Dakshin
SUSMITA DEY KARJEE,Bhartiya Lokmat Rashtrwadi Party,West Bengal,Maldaha Dakshin
VADLA KESAVAIAH,Independent,Andhra Pradesh,Ananthapur
KAVIR MADAN DAS,Ambedkarite Party of India,West Bengal,Maldaha Dakshin
KADIRE KIRAN KUMAR,Bahujan Republican  Socialist Party,Telangana,Bhongir
MD. JAMAL SAIKH,Independent,West Bengal,Maldaha Dakshin
CHINTADA SURYAM,Naba Bharata Nirmana Seva Party,Andhra Pradesh,Visakhapatnam
PURNOCHANDRA MANDAL,Independent,West Bengal,Maldaha Dakshin
SATYANARAYANA GOUD KOVURI,Independent,Telangana,Medak
SYED. SAIDA,Navarang Congress Party,Andhra Pradesh,Guntur
ARE RAJENDHAR,Independent,Telangana,Nizamabad
MOHAMMED SALEEM,Independent,Telangana,Chevella
GANTA CHARITHA RAO,Independent,Telangana,Nizamabad
HARSHWARDHAN DADA RAIBHANJI JADHAV,Independent,Maharashtra,Aurangabad
THOTA VENKATA SAI MUKUND,Praja Prasthanam Party,Andhra Pradesh,Visakhapatnam
DEVIDAS RATAN KASBE,Independent,Maharashtra,Aurangabad
KUKKALA NAGAIAH,Alliance of Democratic Reforms Party,Telangana,Khammam
SYED ASGAR,Independent,Telangana,Nizamabad
AHMED HEDATUL HASAN,Independent,West Bengal,Maldaha Dakshin
VAISHNAVI PRASAD,Independent,Telangana,Malkajgiri
RINKU SAHANI,Rashtra Dharak Dal,Uttar Pradesh,Baharaich
RAMGOPAL,Rashtriya Janutthan Party,Uttar Pradesh,Akbarpur
UDARI MALLESH,Independent,Telangana,Bhongir
PAREE (PESARIKAYALA PAREEKSHITH REDDY),Independent,Telangana,Malkajgiri
UDARI MALLESH,Independent,Telangana,Bhongir
KUKKALA VENKANNA,Independent,Telangana,Nalgonda
C.H. NAVEEN KUMAR,Independent,Telangana,Medak
DR. HEMANT PARMAR,Bhim Sena,Madhya Pradesh,UJJAIN
MOHAMMED ABDUL AZEEM,Independent,Telangana,Secunderabad
PENTA RAMESH,Independent,Telangana,Bhongir
B. MARUTHI RAO,Independent,Telangana,Zahirabad
BARIGELA SHIVA,Independent,Telangana,Warangal
ANIL KUMAR MADDINENI,Independent,Andhra Pradesh,Vijayawada
RAPOLE RAMKUMAR BHARADWAJ,Independent,Telangana,Karimnagar
VADDI. HARI GANESH,Independent,Andhra Pradesh,Visakhapatnam
CHINNAPUREDDY GOPALA KRISHNA REDDY,Independent,Andhra Pradesh,Kadapa
RANJITH KUMAR PALAKA,Independent,Andhra Pradesh,Araku (ST)
RAVI PALAKURI,Independent,Telangana,Nalgonda
DR. RAYAPUDI RAJESH VIJAY KUMAR,Indian Labour Party (Ambedkar Phule),Andhra Pradesh,Guntur
R.S.J. THOMAS,Jai Swaraj Party,Telangana,Secunderabad
OLETY NAGENDRA KRISHNA,Jaibhim Rao Bharat Party,Andhra Pradesh,Narsapuram
J. V. RAMANA,Jaathia Chethi Vruthula Ikya Vedika Party,Andhra Pradesh,Kadapa
ANIL KUMAR GADEPAKA,Independent,Telangana,Warangal
NAGAMANI ACHA,Independent,Telangana,Medak
DR. AMOL RAMSING KOLHE,Nationalist Congress Party – Sharadchandra Pawar,Maharashtra,Shirur
SAEED AHAMAD,Independent,Madhya Pradesh,MANDSOUR
SUDHEER GUPTA,Bharatiya Janata Party,Madhya Pradesh,MANDSOUR
PANMANI SINGH,Socialist Unity Centre Of India (COMMUNIST),Jharkhand,Singhbhum
KANTE SAYANNA,Independent,Telangana,Malkajgiri
NAGAMANI ACHA,Independent,Telangana,Medak
VIJAYA BHASKAR .REDDYPOGU,Independent,Andhra Pradesh,Kurnoolu
GYANESHWAR PATIL,Bharatiya Janata Party,Madhya Pradesh,KHANDWA
JAMEEL SAYED,Alliance of Democratic Reforms Party,Telangana,Hyderabad
MARAM VENKAT REDDY,Independent,Telangana,Nalgonda
SWAPAN KUMAR MANDAL,Independent,West Bengal,Baharampur
KOLKUR PRATAP,Independent,Telangana,Medak
VIKAS SHARMA,Lokshahi Ekta Party,Chhattisgarh,DURG
RAMAKANT KHALAP,Indian National Congress,Goa,North Goa
MITESHBHAI THAKORBHAI PADHIYAR,Independent,Gujarat,Bharuch
VISHWANATH SHEERI,Ekam Sanatan Bharat Dal,Karnataka,Haveri
ARCHANA RANAJAGJITSINH PATIL,Nationalist Congress Party,Maharashtra,Osmanabad
SHRENIK ANNASAHEB JANGATE,Independent,Karnataka,Chikkodi
KALPESHBHAI  SHETE,Gunj Satya Ni Janata Party,Gujarat,Ahmedabad East
DHARMESHKUMAR VISHNUBHAI VASAVA,Independent,Gujarat,Bharuch
BHOVI TARABAI,Independent,Karnataka,Bijapur
SHEKH MOHMMAD NISHAR (MUNNABHAI GARAGE),Independent,Gujarat,Navsari
JITENDRA KUMAR DOHARE,Samajwadi Party,Uttar Pradesh,Etawah
MANORANJAN TALUKDAR,Communist Party of India  (Marxist),Assam,Barpeta
S. M. JIAUL HAQUE,Bharatiya Gana Parishad,Assam,Dhubri
SURESH KUMAR NETAM,Hamar Raj Party,Chhattisgarh,RAIPUR
ADITYA YADAV,Samajwadi Party,Uttar Pradesh,Badaun
PREM DUTT,Rashtra Uday Party,Uttar Pradesh,Firozabad
SANGEPAGA SAROJANAMMA,Independent,Telangana,Mahbubnagar
DAKI NATHABHAI MENSIBHAI,Independent,Gujarat,Junagadh
SANTOSH KERBA KHOT,Kamgaar Kisan Party,Maharashtra,Hatkanangale
VEERESH,Independent,Karnataka,Bellary
M.C.SREENIVAS,Bharatiya Prajagala Kalyana Paksha,Karnataka,Davanagere
GULABSINH SOMSINH CHAUHAN,Indian National Congress,Gujarat,Panchmahal
ABID ALI,Bahujan Samaj Party,Uttar Pradesh,Aonla
DIMPLE YADAV,Samajwadi Party,Uttar Pradesh,Mainpuri
DR. R. GANGADHAR,Socialist Unity Centre Of India (COMMUNIST),Telangana,Secunderabad
NARAYANBHAI LILADHARJI RAVAL,Independent,Gujarat,Bharuch
RAMESH JIGAJINAGI,Bharatiya Janata Party,Karnataka,Bijapur
LAVISH DILIP KHANDELWAL,Independent,Madhya Pradesh,INDORE
V CHANDRA SHEKHAR,Independent,Odisha,Berhampur
JITESHKUMAR GHANSHYAMBHAI SEVAK,Dhanwan Bharat Party,Gujarat,Panchmahal
TANDALE LAXMAN SHIVAJI,Independent,Maharashtra,Hatkanangale
MADHURI RAJU JADHAV,Independent,Maharashtra,Kolhapur
IRFAN ABUTALIB CHAND,Independent,Maharashtra,Kolhapur
BABLU SIDRAM GAIKWAD,Bahujan Samaj Party,Maharashtra,Solapur
ZALA VIKRAMSINH BANESINH,Rashtra Nirman Party,Gujarat,Mahesana
BHORE NITIN KHANDU,Independent,Maharashtra,Osmanabad
ARCHANA SINGH RATHORE,Independent,Madhya Pradesh,GWALIOR
KAMMARI ANANDEESHWAR,Independent,Telangana,Zahirabad
DABHI ASHOKBHAI SUKHABHAI,Bahujan Samaj Party,Gujarat,Surendranagar
GOVARDHAN SUBRAO NIMBALKAR,Independent,Maharashtra,Osmanabad
BHUPENDRA KUMAR MAURYA,Peoples Party of India (Democratic),Uttar Pradesh,Bareilly
DR. DINKAR MORE,Independent,Karnataka,Bidar
ENGI. LAL BAHADUR YADAV,Gondvana Gantantra Party,Chhattisgarh,RAIPUR
G.B.VINAY KUMAR,Independent,Karnataka,Davanagere
KALYAN SINGH TANWAR,Independent,Chhattisgarh,KORBA
AARAB HASAM SUMRA,Independent,Gujarat,Junagadh
SHAMBHAVI,Lok Janshakti Party(Ram Vilas),Bihar,Samastipur
V CHANDRA SHEKHAR,Independent,Odisha,Berhampur
ISMAIL AHMAD PATEL,Independent,Gujarat,Bharuch
CHANDRASHEKAR. H C,Independent,Karnataka,Shimoga
JITENDRA GAUTAM,Lokpriya Rashtrawadi Party,Uttar Pradesh,Agra
HASMUKHKUMAR GANPATSINH RATHOD,Independent,Gujarat,Panchmahal
VISHAL SONI (ADVOCATE),Independent,Madhya Pradesh,RAJGARH
