name,party_name,state,constituency
NAND LAL,Independent,Himachal Pradesh,HAMIRPUR
DEV RAJ,Rashtriya Samaj Dal (R),Himachal Pradesh,KANGRA
RAM CHARAN,Jan Janwadi Party,Uttar Pradesh,Ghazipur
PARAMJIT SINGH,Independent,Punjab,Patiala
PARAMJIT SINGH,Independent,Punjab,Ludhiana
RAJESH,Democratic Bharatiya Samaj Party,Punjab,Hoshiarpur
BALBIR SINGH,Aam Aadmi Party,Punjab,Patiala
BALWINDER SINGH SEKHON,Independent,Punjab,Sangrur
HARPAL SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),Punjab,Khadoor Sahib
PRADEEP KUMAR JOSHI,Rashtra Sewa Dal,Bihar,Karakat
MANOJ KUMAR,Indian National Congress,Bihar,Sasaram
ER DALJEET SINGH,Bharatheeya Jawan Kisan Party,Punjab,Anandpur Sahib
KULDEEP KUMAR SHARMA,Independent,Punjab,Ludhiana
DEEPANSHU SHARMA,Akhil Bhartiya Parivar Party,Chandigarh,Chandigarh
SHOBHANATH,Bhagidari Party(P),Uttar Pradesh,Chandauli
MANJIT KAUR SEKHON,Independent,Punjab,Sangrur
NEERAJ KUMAR,Independent,Punjab,Patiala
ANANTA PRASAD SETHI,Indian National Congress,Odisha,Bhadrak
GURDEEP SINGH,Independent,Punjab,Jalandhar
RAMJAAN KHAN,Independent,Punjab,Anandpur Sahib
KAMALJEET KAUR,Independent,Punjab,Fatehgarh Sahib
MADHURI KUMARI,All India Forward Bloc,Bihar,Patliputra
RESHAM LAL,Independent,Punjab,Firozpur
SATPAL,Independent,Punjab,Hoshiarpur
NARENDRA MALIKA,Independent,Odisha,Jajpur
MAHINDER SINGH,Independent,Punjab,Khadoor Sahib
JEEVAN KUMAR,Akhil Bhartiya Parivar Party,Himachal Pradesh,KANGRA
DR DEV INDER GAGALANI,Republican Party of India,Punjab,Faridkot
LAKHBIR SINGH,Independent,Punjab,Khadoor Sahib
NARENDRA MALIKA,Independent,Odisha,Jajpur
KARNAIL SINGH,Independent,Punjab,Ludhiana
KUNDAN LAL KASHYAP,Independent,Himachal Pradesh,SHIMLA
MILAN NASKAR,Independent,West Bengal,Joynagar
MANISH KUMAR,Bahujan Samaj Party,Uttar Pradesh,Mirzapur
ANJAN DAS,Ambedkarite Party of India,Odisha,Bhadrak
BAHADAR SINGH,Independent,Punjab,Patiala
NUSRAT ANSARI,Independent,Uttar Pradesh,Ghazipur
RAJ PRINCE SINGH,Super Power India Party,Chandigarh,Chandigarh
BHAGWAN SINGH YADAV,Independent,Bihar,Buxar
AMRITPAL SINGH,Independent,Punjab,Khadoor Sahib
