Candidate,Party,Status,State,Constituency
NAMA NAGESWARA RAO, Bharat Rashtra Samithi, Accepted, Telangana, Khammam
RAGIDI LAXMA REDDY, Bharat Rashtra Samithi, Accepted, Telangana, Malkajgiri
BALASHOWRY VALLABHANENI, Janasena Party, Accepted, Andhra Pradesh, Machilipatnam
GAJENDRA SINGH PATEL, Bharatiya Janata Party, Accepted, Madhya Pradesh, KHARGONE
GODUGUPATI VEERA RAGHAVULU, Pyramid Party of India, Accepted, Andhra Pradesh, Eluru
GOLI SAIDULU, Independent, Accepted, Telangana, Nalgonda
BELLAMKONDA SREENIVASULU, Independent, Accepted, Andhra Pradesh, Nandyal
KOMALBAI BAPURAO PATIL, Independent, Accepted, Maharashtra, Raver
SHIVAJI PATEL KALMI, Independent, Accepted, Madhya Pradesh, DHAR
V.N. SATYA NARAYANA, Rashtriya Praja Congress  (Secular), Accepted, Andhra Pradesh, Visakhapatnam
MANOJ LAXMAN VETAL, Bhim Sena, Accepted, Maharashtra, Pune
GUMMA THANUJA RANI, Yuvajana Sramika Rythu Congress Party, Accepted, Andhra Pradesh, Araku (ST)
JYOTSNA GOND, Samajwadi Party, Accepted, Uttar Pradesh, Shahjahanpur
GANDHI  DHANEKULA, Independent, Accepted, Andhra Pradesh, Machilipatnam
ASURA BALU, Independent, Accepted, Telangana, Bhongir
NARESH REDDY, Telangana Jaghir Party, Accepted, Telangana, Mahbubnagar
B A SAMAD SHAHEEN, Indian National Congress, Accepted, Andhra Pradesh, Hindupur
MAKEY DAVY PRASAD, Independent, Accepted, Andhra Pradesh, Amalapuram (SC)
PUTTA MAHESH KUMAR, Telugu Desam, Accepted, Andhra Pradesh, Eluru
J SHANTHA, Yuvajana Sramika Rythu Congress Party, Accepted, Andhra Pradesh, Hindupur
MADHUKAR DAMODAR THORAT, Independent, Accepted, Maharashtra, Maval
SODE VENKATESWARLU, Gondwana Dandkaranya Party, Accepted, Telangana, Mahabubabad
Dr. MARAPALLY SUDHEER KUMAR, Bharat Rashtra Samithi, Accepted, Telangana, Warangal
KALPANA PANJA, Bahujan Samaj Party, Accepted, Telangana, Warangal
JHANSI LAKSHMI. BOTCHA., Yuvajana Sramika Rythu Congress Party, Accepted, Andhra Pradesh, Visakhapatnam
DAGGUBATI PURANDHESHWARI, Bharatiya Janata Party, Accepted, Andhra Pradesh, Rajahmundry
Dr. MARAPALLY SUDHEER KUMAR, Bharat Rashtra Samithi, Accepted, Telangana, Warangal
PANCHASHILA BABULAL JADHAV, Republican Bahujan Sena, Accepted, Maharashtra, Aurangabad
KRANTHI KUMAR BANDELA, Indian National Yuva Jana Party, Accepted, Telangana, Secunderabad
GUMMA THANUJA RANI, Yuvajana Sramika Rythu Congress Party, Accepted, Andhra Pradesh, Araku (ST)
SHAIK SHAFI AHMED, All India Forward Bloc, Accepted, Andhra Pradesh, Nellore
SHRIRAM OMKAR PATIL, Independent, Accepted, Maharashtra, Raver
SODE VENKATESWARLU, Gondwana Dandkaranya Party, Accepted, Telangana, Mahabubabad
SRAVAN PEDDAPELLY, Bharathiya YuvaKula Dalam, Accepted, Telangana, Karimnagar
AZAD KIRTI JHA, All India Trinamool Congress, Accepted, West Bengal, Bardhaman-Durgapur
MAHESH DASHRATH MHASKE, Independent, Accepted, Maharashtra, Pune
AZAD KIRTI JHA, All India Trinamool Congress, Accepted, West Bengal, Bardhaman-Durgapur
UTTAM PRAVEEN KUMAR, Independent, Accepted, Telangana, Secunderabad
AZAD KIRTI JHA, All India Trinamool Congress, Accepted, West Bengal, Bardhaman-Durgapur
LAKSHMI HEMBROM, Ambedkarite Party of India, Accepted, West Bengal, Birbhum
VISHNU VARDHAN REDDY THAPALAKINDHI, Independent, Accepted, Telangana, Mahbubnagar
RAMULU BINGI, Yuga Thulasi Party, Accepted, Telangana, Chevella
ARUN KUMAR SAGAR, Bharatiya Janata Party, Accepted, Uttar Pradesh, Shahjahanpur
MANTU DHIBAR, Hindustan Shakti Sena, Accepted, West Bengal, Bolpur
RAFIQUE RASHID QURESHI, Independent, Accepted, Maharashtra, Maval
PILLELA SRIKANTH, Independent, Accepted, Telangana, Nagarkurnool
PASAM VENKATESWARLU YADAV, Samajwadi Party, Accepted, Andhra Pradesh, Ongole
MANOJ KUMAR, Independent, Accepted, Uttar Pradesh, Kanpur
RAJESH VERMA, Bharatiya Janata Party, Accepted, Uttar Pradesh, Sitapur
DR.MALLU RAVI, Indian National Congress, Accepted, Telangana, Nagarkurnool
RAJESH VERMA, Bharatiya Janata Party, Accepted, Uttar Pradesh, Sitapur
GUDISHE  MOHAN, Independent, Accepted, Telangana, Karimnagar
M.JOHNSON, All India Mahila Empowerment Party, Accepted, Telangana, Hyderabad
MUKESH RAJPUT, Bharatiya Janata Party, Accepted, Uttar Pradesh, Farrukhabad
CHANTI BADNAINA, Jai Bharat National Party, Accepted, Andhra Pradesh, Araku (ST)
INDRAJEET KUMAR ROY, Independent, Accepted, Bihar, Begusarai
KUMARI ANITA, Rashtriya Janata Dal, Accepted, Bihar, Munger
MACHA DEVENDER, Viduthalai Chiruthaigal Katchi, Accepted, Telangana, Warangal
GANDIKOTA RAJESH, Navataram Party, Accepted, Andhra Pradesh, Visakhapatnam
SHIV PRAKASH SINGH, Independent, Accepted, Uttar Pradesh, Unnao
MACHA DEVENDER, Viduthalai Chiruthaigal Katchi, Accepted, Telangana, Warangal
P V A ANANDA SAGAR, Independent, Accepted, Andhra Pradesh, Vizianagaram
RAM LAKHAN  MAHTO, Bahujan Samaj Party, Accepted, Bihar, Samastipur
GANDIKOTA RAJESH, Navataram Party, Accepted, Andhra Pradesh, Visakhapatnam
MUKESH RAJPUT, Bharatiya Janata Party, Accepted, Uttar Pradesh, Farrukhabad
KUMARI ANITA, Rashtriya Janata Dal, Accepted, Bihar, Munger
KUMARI ANITA, Rashtriya Janata Dal, Accepted, Bihar, Munger
REKHA VERMA, Bharatiya Janata Party, Accepted, Uttar Pradesh, Dhaurahra
KUMARI ANITA, Rashtriya Janata Dal, Accepted, Bihar, Munger
MUKESH RAJPUT, Bharatiya Janata Party, Accepted, Uttar Pradesh, Farrukhabad
JAHANARA KHAN, Communist Party of India  (Marxist), Accepted, West Bengal, Asansol
AMBI HANUMANTH RAO, Socialist Party (India), Accepted, Telangana, Hyderabad
MULAYAM SINGH, Independent, Accepted, Uttar Pradesh, Etawah
ARUN KUMAR SAGAR, Bharatiya Janata Party, Accepted, Uttar Pradesh, Shahjahanpur
KULDEEP BHADAURIYA, Bahujan Samaj Party, Accepted, Uttar Pradesh, Kanpur
GORAKH NARAYAN GHODKE, Independent, Accepted, Maharashtra, Pune
KAVITHA MALOTH, Bharat Rashtra Samithi, Accepted, Telangana, Mahabubabad
BIRANCHI NARAYAN DURGA, Bahujan Samaj Party, Accepted, Odisha, Kalahandi
SURESH ASARAM FULARE, Independent, Accepted, Maharashtra, Aurangabad
PAWAN TIGGA, Independent, Accepted, Jharkhand, Lohardaga
TRINATH MUNDAGUDIA, Socialist Unity Centre Of India (COMMUNIST), Accepted, Odisha, Nabarangpur
GADDAM HARISH GOUD, Dharma Samaj Party, Accepted, Telangana, Hyderabad
VALLABHANENI NAGA PAVAN KUMAR, Independent, Accepted, Andhra Pradesh, Machilipatnam
THALLADA VENKATESWARLU, Independent, Accepted, Telangana, Malkajgiri
JAHANARA KHAN, Communist Party of India  (Marxist), Accepted, West Bengal, Asansol
NITYANAND RAI, Bharatiya Janata Party, Accepted, Bihar, Ujiarpur
PAWAN TIGGA, Independent, Accepted, Jharkhand, Lohardaga
PRAFUL PANDIT BHOSALE, Independent, Accepted, Maharashtra, Maval
VIJAY KUMAR G.SRKR, Liberation Congress Party, Accepted, Andhra Pradesh, Thirupathi(SC)
JAHANARA KHAN, Communist Party of India  (Marxist), Accepted, West Bengal, Asansol
RAJESH KUMAR, Political Justice Party, Accepted, Uttar Pradesh, Dhaurahra
DINESH, Bhartiya Shakti Chetna Party, Accepted, Uttar Pradesh, Farrukhabad
JAHANARA KHAN, Communist Party of India  (Marxist), Accepted, West Bengal, Asansol
ROMALA BABU DURGAIAH, India Praja Bandhu Party, Accepted, Telangana, Zahirabad
ATCHIYYA NAIDU SAMIREDDY, Samajwadi Party, Accepted, Andhra Pradesh, Vizianagaram
P. SATYA REDDY, Indian National Congress, Accepted, Andhra Pradesh, Visakhapatnam
DR. MEDISI RATNARAO ALIAS VINAY, Independent, Accepted, Andhra Pradesh, Rajahmundry
NITYANAND RAI, Bharatiya Janata Party, Accepted, Bihar, Ujiarpur
PALADHI NAGARAJU, Independent, Accepted, Telangana, Nagarkurnool
ANEESUR RAHMAN, Bahujan Mukti Party, Accepted, Telangana, Mahbubnagar
BATTULA BALARAMAKRISHNA, Navarang Congress Party, Accepted, Andhra Pradesh, Rajahmundry
NITYANAND RAI, Bharatiya Janata Party, Accepted, Bihar, Ujiarpur
ANJINAPPA GARI SREENIVASULU, Revolutionary Socialist Party, Accepted, Andhra Pradesh, Hindupur
ABBAGONI ASHOK GOUD, Bahujana Left Party, Accepted, Telangana, Nizamabad
MANASA PERALA, Independent, Accepted, Telangana, Karimnagar
ARJUN MUNDA, Bharatiya Janata Party, Accepted, Jharkhand, Khunti
GOWLIKAR SONY, Social Justice Party of India, Accepted, Telangana, Secunderabad
NITYANAND RAI, Bharatiya Janata Party, Accepted, Bihar, Ujiarpur
AMBOJU RAVI, Alliance of Democratic Reforms Party, Accepted, Telangana, Nagarkurnool
B K PARTHASARATHI, Telugu Desam, Accepted, Andhra Pradesh, Hindupur
PARDESHI LAL MUNDA, Bahujan Samaj Party, Accepted, Jharkhand, Singhbhum
ARJUN MUNDA, Bharatiya Janata Party, Accepted, Jharkhand, Khunti
KAVITHA MALOTH, Bharat Rashtra Samithi, Accepted, Telangana, Mahabubabad
SHAIKH YASHED SHAIKH TAYYAB, Independent, Accepted, Maharashtra, Beed
RAJARAM PAL, Samajwadi Party, Accepted, Uttar Pradesh, Akbarpur
MALLA SRAVANI, Independent, Accepted, Andhra Pradesh, Visakhapatnam
ANAND BHADAURIYA, Samajwadi Party, Accepted, Uttar Pradesh, Dhaurahra
MEDAPATI VENKATA VARAHALA REDDY, Independent, Accepted, Andhra Pradesh, Narsapuram
RAM LAKHAN  MAHTO, Bahujan Samaj Party, Accepted, Bihar, Samastipur
YOUGENDAR GATLA, Alliance of Democratic Reforms Party, Accepted, Telangana, Nizamabad
J LAKSHMI NARASIMHA YADAV, Indian National Congress, Accepted, Andhra Pradesh, Nandyal
GANESWARA RAO PARAMATA, Bahujan Samaj Party, Accepted, Andhra Pradesh, Rajahmundry
DONTHULA BIKSHAPATHI, Independent, Accepted, Telangana, Malkajgiri
PADIGA YARRAIAH, Independent, Accepted, Telangana, Mahabubabad
VACHISHT UDDHAV KUTE, Independent, Accepted, Maharashtra, Beed
RAMESH SUNKARA, Independent, Accepted, Telangana, Nalgonda
MARIANUS TIGGA, Independent, Accepted, Jharkhand, Lohardaga
SANJOG BHIKU WAGHERE PATIL, ShivSena (Uddhav Balasaheb Thackeray), Accepted, Maharashtra, Maval
PADIGA YARRAIAH, Independent, Accepted, Telangana, Mahabubabad
KOTAGIRI SRINIVAS, Independent, Accepted, Telangana, Nizamabad
KARNE. SHIREESHA @ BARRELAKKA, Independent, Accepted, Telangana, Nagarkurnool
SAKHINETI ANANTHA RAJU, Pyramid Party of India, Accepted, Andhra Pradesh, Vizianagaram
ANKIREDDY. SURESH KUMAR REDDY., All India Forward Bloc, Accepted, Andhra Pradesh, Kadapa
K.A. PAUL, Praja Shanthi Party, Accepted, Andhra Pradesh, Visakhapatnam
SANJOG BHIKU WAGHERE PATIL, ShivSena (Uddhav Balasaheb Thackeray), Accepted, Maharashtra, Maval
L.ASHOKNATH, Telangana Prajaa Jeevana Rythu Party, Accepted, Telangana, Hyderabad
KONGARA ANIL KUMAR, Independent, Accepted, Telangana, Warangal
ADVOCATE PRAKASH CHOUHAN, Bahujan Samaj Party, Accepted, Madhya Pradesh, UJJAIN
SHANIYA ORAON, Independent, Accepted, Jharkhand, Lohardaga
BIKSHAPATHI LANDA, Independent, Accepted, Telangana, Nagarkurnool
SHAIKH KHAJA KISMATWALA KASIM KISMATWALA, Independent, Accepted, Maharashtra, Aurangabad
YEDIDA VARA PRASAD KUMAR, Republican Party of India (A), Accepted, Andhra Pradesh, Kakinada
NARENDRA DNYANESHWAR PAWTEKAR, Independent, Accepted, Maharashtra, Pune
VIJAYA LAKSHMI KARRI, Pyramid Party of India, Accepted, Andhra Pradesh, Anakapalle
BIR SINGH DEOGAM, Right to Recall Party, Accepted, Jharkhand, Singhbhum
KANCHARLA KRISHNA REDDY, Bharat Rashtra Samithi, Accepted, Telangana, Nalgonda
RANGLA KALESH, Independent, Accepted, Madhya Pradesh, RATLAM
VELURI VENKATA TRINADHARAO, Independent, Accepted, Andhra Pradesh, Vizianagaram
KETHA SREENU, Independent, Accepted, Andhra Pradesh, Narsapuram
BHANU CHANDAR KURUVELLA, Independent, Accepted, Andhra Pradesh, Rajahmundry
BHUKYA. NANDU, Vidhyarthula Rajakiya Party, Accepted, Telangana, Nizamabad
RAJENDRA ACHYUTRAO HOKE, Independent, Accepted, Maharashtra, Beed
GOVIND LAL, Independent, Accepted, Telangana, Chevella
RANJEET KUMAR RAM, Wazib Adhikar Party, Accepted, Bihar, Darbhanga
GEDAM. SAGAR, India Praja Bandhu Party, Accepted, Telangana, Adilabad
DASARI BHARATHI, Viduthalai Chiruthaigal Katchi, Accepted, Telangana, Nagarkurnool
SHITAL SHIVAJI DHONDRE, Independent, Accepted, Maharashtra, Beed
PAGIDIPALLI SHYAMSON, Viduthalai Chiruthaigal Katchi, Accepted, Telangana, Secunderabad
GANGA MALVIYA, Independent, Accepted, Madhya Pradesh, UJJAIN
V.SHANKER, Yuva Taram Party, Accepted, Telangana, Hyderabad
KALI CHARAN MUNDA, Indian National Congress, Accepted, Jharkhand, Khunti
PINKU PASWAN, Rashtriya Jansambhavna Party, Accepted, Bihar, Samastipur
GAJULA SOMA SEKHAR, Jai Bharat National Party, Accepted, Andhra Pradesh, Nellore
CHINNAM ARUNA KUMAR, Jaibhim Rao Bharat Party, Accepted, Andhra Pradesh, Vizianagaram
ERUKULLA RAJA NARSAIAH, Bahujan Samaj Party, Accepted, Telangana, Peddapalle
KATTA ANAND BABU, Independent, Accepted, Andhra Pradesh, Bapatla (SC)
SANJAY PASWAN, Independent, Accepted, Bihar, Ujiarpur
MALLIPUDI MANGAPATI PALLAM RAJU, Indian National Congress, Accepted, Andhra Pradesh, Kakinada
MALLIPUDI MANGAPATI PALLAM RAJU, Indian National Congress, Accepted, Andhra Pradesh, Kakinada
KANHAIYALAL MALVIYA, Bahujan Samaj Party, Accepted, Madhya Pradesh, MANDSOUR
MALLIPUDI MANGAPATI PALLAM RAJU, Indian National Congress, Accepted, Andhra Pradesh, Kakinada
MALLIPUDI MANGAPATI PALLAM RAJU, Indian National Congress, Accepted, Andhra Pradesh, Kakinada
DANVE RAOSAHEB DADARAO, Bharatiya Janata Party, Accepted, Maharashtra, Jalna
KRISHNA PRASAD TENNETI, Telugu Desam, Accepted, Andhra Pradesh, Bapatla (SC)
KASANI GYANESHWAR KASANI, Bharat Rashtra Samithi, Accepted, Telangana, Chevella
BAGBAN SALEEM ABDUL RAZZAQUE, Independent, Accepted, Maharashtra, Pune
UMABALA GUDURI, Yuvajana Sramika Rythu Congress Party, Accepted, Andhra Pradesh, Narsapuram
RAMESH KUMAR MATANGI, Sakala Janula Party, Accepted, Telangana, Hyderabad
PRASHANTH KATRAJI, Independent, Accepted, Telangana, Nizamabad
B. BHARANI BAS, Ambedkar National Congress, Accepted, Andhra Pradesh, Thirupathi(SC)
MANOJ KUMAR, Janta Raj Vikas Party, Accepted, Bihar, Ujiarpur
CHANDA LINGAIAH, Independent, Accepted, Telangana, Mahabubabad
KASANI GYANESHWAR KASANI, Bharat Rashtra Samithi, Accepted, Telangana, Chevella
UMABALA GUDURI, Yuvajana Sramika Rythu Congress Party, Accepted, Andhra Pradesh, Narsapuram
SUNNY HAZARI, Indian National Congress, Accepted, Bihar, Samastipur
KASIMALLA NAGESWARA RAO, Independent, Accepted, Telangana, Khammam
SUNNY HAZARI, Indian National Congress, Accepted, Bihar, Samastipur
MIRZA SAJAD HUSSAIN BEIGH, Independent, Accepted, Jammu and Kashmir, SRINAGAR
MALIKIREDDY. HANUMANTHA REDDY, Jana Sahayaka Sakthi, Accepted, Andhra Pradesh, Kadapa
RAJARAM PAL, Samajwadi Party, Accepted, Uttar Pradesh, Akbarpur
KANAKAIAH MULKALA, Socialist Party (India), Accepted, Telangana, Peddapalle
MOKALLA MURALIKRISHNA, Independent, Accepted, Telangana, Mahabubabad
CHILUMULLA SUJATHA, Independent, Accepted, Telangana, Warangal
SRIDEVI M, Alliance of Democratic Reforms Party, Accepted, Telangana, Chevella
SHOBHARAM DAWAR, Bahujan Samaj Party, Accepted, Madhya Pradesh, KHARGONE
SUNNY HAZARI, Indian National Congress, Accepted, Bihar, Samastipur
LALIT KUMARI, Independent, Accepted, Uttar Pradesh, Kannauj
C. DAVID, Indian Believers Party (IBP), Accepted, Andhra Pradesh, Thirupathi(SC)
POLISHETTY VENKATESHWARLU, Independent, Accepted, Telangana, Nalgonda
C. DAVID, Indian Believers Party (IBP), Accepted, Andhra Pradesh, Thirupathi(SC)
KINNERA YADAIAH, Independent, Accepted, Telangana, Nalgonda
KRANTHI KUMAR BANDELA, Indian National Yuva Jana Party, Accepted, Telangana, Hyderabad
SALIM BABA SAYYAD, Independent, Accepted, Maharashtra, Shirur
RAMA DURGA PRASAD THOLETI, Independent, Accepted, Andhra Pradesh, Narsapuram
KRANTHI KUMAR BANDELA, Indian National Yuva Jana Party, Accepted, Telangana, Hyderabad
TANGELLA SRINIVASU, Jatiya Jana Sena Party, Accepted, Andhra Pradesh, Kakinada
ERIKILLA RAJESH, Independent, Accepted, Telangana, Peddapalle
ADV.SWAPNIL BHAUSAHEB SHELAR, Independent, Accepted, Maharashtra, Shirur
TANAJI TUKARAM BHOJANE, Independent, Accepted, Maharashtra, Jalna
A. MADHU, Jai Hindustan Party, Accepted, Andhra Pradesh, Thirupathi(SC)
CHAVAGANI MANI, Alliance of Democratic Reforms Party, Accepted, Telangana, Zahirabad
DR PRADEEP KUMAR PANIGRAHY, Bharatiya Janata Party, Accepted, Odisha, Berhampur
BANOTH PREM NAYAK [BPN], Independent, Accepted, Telangana, Mahabubabad
HANUMESH, Independent, Accepted, Telangana, Mahbubnagar
DADA ALIAS VIKAS SURESH KASBE, Independent, Accepted, Maharashtra, Shirur
ADV NITIN DADAHARI POL, Bahujan Bharat Party, Accepted, Maharashtra, Shirdi
IPPILI SEETHARAJU, Jai Bharat National Party, Accepted, Andhra Pradesh, Srikakulam
JANGALA AJAY KUMAR, Communist Party of India, Accepted, Andhra Pradesh, Guntur
JIBRAN FIRDOUS DAR, Independent, Accepted, Jammu and Kashmir, SRINAGAR
MOHAMMAD PASHA, Independent, Accepted, Telangana, Chevella
DADA ALIAS VIKAS SURESH KASBE, Independent, Accepted, Maharashtra, Shirur
KATKURI SANDEEP, Independent, Accepted, Telangana, Peddapalle
DADA ALIAS VIKAS SURESH KASBE, Independent, Accepted, Maharashtra, Shirur
ABDUL RAJAK SHAIK, Independent, Accepted, Andhra Pradesh, Narsaraopet
DADA ALIAS VIKAS SURESH KASBE, Independent, Accepted, Maharashtra, Shirur
MOHAMMED WALIULLAH SAMEER, Indian National Congress, Accepted, Telangana, Hyderabad
DHARM PAL, Independent, Accepted, Uttar Pradesh, Shahjahanpur
ASADUDDIN OWAISI, All India Majlis-E-Ittehadul Muslimeen, Accepted, Telangana, Hyderabad
NAKKA DINESH, Bharatha Chaitanya Yuvajana Party, Accepted, Andhra Pradesh, Nellore
RAJARAM PAL, Samajwadi Party, Accepted, Uttar Pradesh, Akbarpur
ASADUDDIN OWAISI, All India Majlis-E-Ittehadul Muslimeen, Accepted, Telangana, Hyderabad
ABDUL AZIM ABDUL AZIZ SHAIKH, Independent, Accepted, Maharashtra, Aurangabad
ANNU TANDON, Samajwadi Party, Accepted, Uttar Pradesh, Unnao
JIBACHH KUMAR HAJARI, Independent, Accepted, Bihar, Samastipur
HARINDER REDDY MALLELA, Independent, Accepted, Telangana, Mahbubnagar
SHAHNAZ HUSSAIN SHAH, Independent, Accepted, Jammu and Kashmir, SRINAGAR
PULIMAMIDI VENKATESH GUPTA, Independent, Accepted, Telangana, Secunderabad
KARUMURI SUNIL KUMAR, Yuvajana Sramika Rythu Congress Party, Accepted, Andhra Pradesh, Eluru
SOURAV HELA, Independent, Accepted, West Bengal, Krishnanagar
KOTHAKONDA SHAKTI PRASAD, Independent, Accepted, Telangana, Nizamabad
JAI PRAKASH, Bharatiya Janata Party, Accepted, Uttar Pradesh, Hardoi
CHELLURI DANIYAL, Independent, Accepted, Andhra Pradesh, Srikakulam
DR GADDAM RANJITH REDDY, Indian National Congress, Accepted, Telangana, Chevella
KUCHIPUDI JOHN BABU, Jaibhim Rao Bharat Party, Accepted, Andhra Pradesh, Narsaraopet
KATTAMANCHI. PRABHAKAR, Independent, Accepted, Andhra Pradesh, Thirupathi(SC)
CHILUKA ANAND, Yuva Taram Party, Accepted, Telangana, Peddapalle
KARUMURI SUNIL KUMAR, Yuvajana Sramika Rythu Congress Party, Accepted, Andhra Pradesh, Eluru
VIJAYA BHASKAR REDDYPOGU, Independent, Accepted, Andhra Pradesh, Nandyal
PINKU PASWAN, Rashtriya Jansambhavna Party, Accepted, Bihar, Samastipur
AABDUSA SATTAR SEKH, Indian National Socialistic Action Forces, Accepted, West Bengal, Baharampur
YADVENDRA KISHOR, Independent, Accepted, Uttar Pradesh, Kannauj
JAI PRAKASH, Bharatiya Janata Party, Accepted, Uttar Pradesh, Hardoi
CHELLURI DANIYAL, Independent, Accepted, Andhra Pradesh, Srikakulam
RAVINDRA BHASKARRAO BODKHE, Bharatiya Yuva Jan Ekta Party, Accepted, Maharashtra, Aurangabad
JAI PRAKASH, Bharatiya Janata Party, Accepted, Uttar Pradesh, Hardoi
RAPAKA VARAPRASADA RAO, Yuvajana Sramika Rythu Congress Party, Accepted, Andhra Pradesh, Amalapuram (SC)
RAPAKA VARAPRASADA RAO, Yuvajana Sramika Rythu Congress Party, Accepted, Andhra Pradesh, Amalapuram (SC)
SHAIK SIRAJUDDIN, Independent, Accepted, Telangana, Khammam
YOUNIS AHMAD MIR, Bharat Jodo Party, Accepted, Jammu and Kashmir, SRINAGAR
MD SHAHNAWAZ HASSAN, Independent, Accepted, Bihar, Begusarai
AMAL CHANDRA SARKAR, Bahujan Samaj Party, Accepted, West Bengal, Krishnanagar
SHAIK SIRAJUDDIN, Independent, Accepted, Telangana, Khammam
SOMNATH PAUL, All India Arya Mahasabha, Accepted, West Bengal, Baharampur
SARA YADAGIRI GOUD, Praja Velugu Party, Accepted, Telangana, Medak
ASHUTOSH PATHAK, Aam Janta Party (India), Accepted, Uttar Pradesh, Dhaurahra
SANAPALA SRAVAN KUMAR, Independent, Accepted, Andhra Pradesh, Srikakulam
MD SHAHNAWAZ HASSAN, Independent, Accepted, Bihar, Begusarai
AFROJA KHATUN MONDAL, All India Secular Front, Accepted, West Bengal, Krishnanagar
KANCHARLA KRISHNA REDDY, Bharat Rashtra Samithi, Accepted, Telangana, Nalgonda
YADLA RAJESH, Liberation Congress Party, Accepted, Andhra Pradesh, Amalapuram (SC)
PANDITI. GURAPPA., Bahujan Samaj Party, Accepted, Andhra Pradesh, Kadapa
RATAN ASARAM LANDGE, Independent, Accepted, Maharashtra, Jalna
SANTOSH KUMAR SAHU, All India Forward Bloc, Accepted, Odisha, Berhampur
RAMASAHAYAM RAGHURAM REDDY, Indian National Congress, Accepted, Telangana, Khammam
TILAK PERADA, Yuvajana Sramika Rythu Congress Party, Accepted, Andhra Pradesh, Srikakulam
RAMBABU JALLI, Telugu Rajadhikara Samiti Party, Accepted, Andhra Pradesh, Araku (ST)
KRANTHI KUMAR BANDELA, Indian National Yuva Jana Party, Accepted, Telangana, Secunderabad
SATYANARAYANA GOUD KOVURI, Independent, Accepted, Telangana, Medak
UDARI MALLESH, Independent, Accepted, Telangana, Bhongir
RAMASAHAYAM RAGHURAM REDDY, Indian National Congress, Accepted, Telangana, Khammam
POGULA ASHOK, Independent, Accepted, Telangana, Warangal
C.H. NAVEEN KUMAR, Independent, Accepted, Telangana, Medak
KRANTHI KUMAR BANDELA, Indian National Yuva Jana Party, Accepted, Telangana, Secunderabad
AMARTHALURI VENKATESWARA RAO., Marxist Communist Party of India (United), Accepted, Andhra Pradesh, Guntur
Y. S. AVINASH REDDY, Yuvajana Sramika Rythu Congress Party, Accepted, Andhra Pradesh, Kadapa
NITTA AKHILA DHARANI PAL, Bahujan Samaj Party, Accepted, Andhra Pradesh, Eluru
GONE SRINIVAS REDDY, Independent, Accepted, Telangana, Chevella
MAISANGARI SUNIL, India Praja Bandhu Party, Accepted, Telangana, Medak
ANOSE KATKOORI, Independent, Accepted, Telangana, Karimnagar
DODLA VENKAT, Telangana Praja Shakthi Party, Accepted, Telangana, Medak
ANWAR RAICE, Socialist Party (India), Accepted, Telangana, Khammam
BONTHA RANGA REDDY, Independent, Accepted, Andhra Pradesh, Ongole
RAPALLY SATYANARAYANA, Independent, Accepted, Telangana, Nizamabad
ADDEPALLI VEERA VENKAT SUBBA RAO, Independent, Accepted, Andhra Pradesh, Narsapuram
UPPU SUBBARAYUDU, Jaathia Chethi Vruthula Ikya Vedika Party, Accepted, Andhra Pradesh, Nandyal
KARUKONDA SRINIVAS YADAV, Independent, Accepted, Telangana, Mahbubnagar
KARINGULA YADAGIRI, Independent, Accepted, Telangana, Bhongir
SANJAY BHASKAR SHIRSAT, Independent, Accepted, Maharashtra, Aurangabad
PIYA SAHA, Bharatiya Janata Party, Accepted, West Bengal, Bolpur
DORABABU YALLA, Bahujan Samaj Party, Accepted, Andhra Pradesh, Amalapuram (SC)
SHANKAR LALWANI, Bharatiya Janata Party, Accepted, Madhya Pradesh, INDORE
DORABABU YALLA, Bahujan Samaj Party, Accepted, Andhra Pradesh, Amalapuram (SC)
PIYA SAHA, Bharatiya Janata Party, Accepted, West Bengal, Bolpur
SUBRAT PATHAK, Bharatiya Janata Party, Accepted, Uttar Pradesh, Kannauj
SANTOSH KUMAR BIDIKA, Republican Party of India (A), Accepted, Odisha, Koraput
GANGADHAR JAL, Independent, Accepted, Odisha, Kalahandi
GARNEPUDI ALEXANDER SUDHAKAR, Indian National Congress, Accepted, Andhra Pradesh, Narsaraopet
MAHAMD JAHANGIR, Communist Party of India  (Marxist), Accepted, Telangana, Bhongir
GANTLAVELLI RAKESH, Dharma Samaj Party, Accepted, Telangana, Mahbubnagar
MAHAMD JAHANGIR, Communist Party of India  (Marxist), Accepted, Telangana, Bhongir
BANASI NARAYANAPPA, Bahujan Samaj Party, Accepted, Andhra Pradesh, Ananthapur
PAGADALA KODANDA, Independent, Accepted, Andhra Pradesh, Kurnoolu
ASHOK PANCHIKA, Social Justice Party of India, Accepted, Telangana, Karimnagar
ATHRAM SAKKU, Bharat Rashtra Samithi, Accepted, Telangana, Adilabad
TARIGOPULA RAJABABU, All Peoples Party, Accepted, Andhra Pradesh, Kurnoolu
EKNATH NAGO SALUNKE, Independent, Accepted, Maharashtra, Raver
GUDE VENKATESWARULU, Independent, Accepted, Andhra Pradesh, Amalapuram (SC)
DODLA VENKAT, Telangana Praja Shakthi Party, Accepted, Telangana, Medak
KAUSALYA HIKAKA, Biju Janata Dal, Accepted, Odisha, Koraput
RAPELLY SRINIVAS, Independent, Accepted, Telangana, Nizamabad
EDA SUDHAKARA REDDY, Indian National Congress, Accepted, Andhra Pradesh, Ongole
