Candidate,Party,Status,State,Constituency
PANKAJ CHAUDHARY, Bharatiya Janata Party, Accepted, Uttar Pradesh, Maharajganj
SUNIL KUMAR, Independent, Accepted, Chandigarh, Chandigarh
MANINDR, Independent, Accepted, Uttar Pradesh, Ballia
RAMESH LAL, Independent, Accepted, Punjab, Jalandhar
BALWINDER SINGH, Independent, Accepted, Punjab, Amritsar
SANTOSH KUMARI, Megh Desham Party, Accepted, Punjab, Gurdaspur
SHSHNATH, Independent, Accepted, Uttar Pradesh, Ballia
EMAAN SINGH MANN, Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann), Accepted, Punjab, Amritsar
SUJAN SARDAR, Independent, Accepted, West Bengal, Joynagar
MUMTAZ ALI, Independent, Accepted, West Bengal, Kolkata Dakshin
PANKAJ CHAUDHARY, Bharatiya Janata Party, Accepted, Uttar Pradesh, Maharajganj
SAMEER SINGH, All India Forward Bloc, Accepted, Uttar Pradesh, Mirzapur
SILI MALLICK, Samruddha Odisha, Accepted, Odisha, Jagatsinghpur
GURJEET SINGH AUJLA, Indian National Congress, Accepted, Punjab, Amritsar
VIJAY KUMAR, Independent, Accepted, Punjab, Khadoor Sahib
NEELAM, Independent, Accepted, Punjab, Amritsar
RAM NIRANJAN ROY, Rashtrawadi Chetna Party, Accepted, Bihar, Patliputra
BALJEET SINGH, Independent, Accepted, Chandigarh, Chandigarh
SUKHJEET KAUR, Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann), Accepted, Punjab, Bathinda
VINAY PRATAP SINGH, Rashtriya Sanatan Party, Accepted, Bihar, Nalanda
RAM NIRANJAN ROY, Rashtrawadi Chetna Party, Accepted, Bihar, Patliputra
PREM CHAND, Punjab National Party, Accepted, Punjab, Firozpur
SUDHIR KUMAR TRIPATHI, Independent, Accepted, Punjab, Ludhiana
PARAMJIT KAUR, Independent, Accepted, Punjab, Amritsar
BIDYADHAR DALEI, Ambedkarite Party of India, Accepted, Odisha, Jajpur
KULWANT SINGH, Independent, Accepted, Punjab, Bathinda
NIRANJAN KUMAR RAI, Independent, Accepted, Bihar, Buxar
RANDHIR LAL, Independent, Accepted, Bihar, Arrah
AMRISH BHAGAT, Independent, Accepted, Punjab, Jalandhar
GAGANDEEP, Independent, Accepted, Punjab, Amritsar
SARABJIT SINGH, Independent, Accepted, Punjab, Khadoor Sahib
SUBHASH MOHAN SNEHI, Independent, Accepted, Himachal Pradesh, MANDI
RAJ, Independent, Accepted, Punjab, Firozpur
RAM ASARE SINGH, Peoples Party of India (Democratic), Accepted, Bihar, Arrah
VIRENDRA CHAUDHARY, Indian National Congress, Accepted, Uttar Pradesh, Maharajganj
